lat,long,smap_sm
35.5,-121.0,0.078522585
36.0,-121.0,0.07349325
36.5,-121.0,0.063673496
35.5,-120.5,0.05547276
36.0,-120.5,0.06267975
36.5,-120.5,0.12603053
37.0,-120.5,0.15939942
37.5,-120.5,0.12087349
35.0,-120.0,0.063178666
35.5,-120.0,0.052148767
36.0,-120.0,0.08858247
36.5,-120.0,0.16854994
37.5,-120.0,0.08570236
39.5,-120.0,0.16296571
34.5,-119.5,0.10846635
35.0,-119.5,0.06577097
35.5,-119.5,0.07729848
36.0,-119.5,0.15814662
36.5,-119.5,0.1292532
37.0,-119.5,0.08900853
38.0,-119.5,0.16645311
38.5,-119.5,0.13913137
39.0,-119.5,0.12289162
39.5,-119.5,0.13406456
34.5,-119.0,0.10267847
35.0,-119.0,0.087997586
35.5,-119.0,0.084387206
36.0,-119.0,0.11079608
36.5,-119.0,0.11704785
37.5,-119.0,0.15820502
38.0,-119.0,0.15654375
38.5,-119.0,0.09505619
39.0,-119.0,0.07974021
39.5,-119.0,0.10884638
40.0,-119.0,0.08461625
34.5,-118.5,0.07641106
35.0,-118.5,0.060056265
35.5,-118.5,0.078374535
36.5,-118.5,0.15220898
38.0,-118.5,0.08628301
38.5,-118.5,0.06374562
39.0,-118.5,0.082779095
39.5,-118.5,0.102986105
40.0,-118.5,0.10410124
34.5,-118.0,0.051557116
35.0,-118.0,0.040346626
35.5,-118.0,0.05984035
36.0,-118.0,0.08218678
36.5,-118.0,0.11333083
37.0,-118.0,0.08227679
37.5,-118.0,0.07399541
38.0,-118.0,0.0717424
38.5,-118.0,0.06831349
39.0,-118.0,0.055478074
39.5,-118.0,0.077879116
40.0,-118.0,0.1239294
34.5,-117.5,0.04284931
35.5,-117.5,0.055713423
36.0,-117.5,0.083597176
36.5,-117.5,0.094958425
37.0,-117.5,0.07868091
37.5,-117.5,0.06008345
38.0,-117.5,0.061764557
38.5,-117.5,0.056940954
39.0,-117.5,0.062973045
39.5,-117.5,0.049028885
40.0,-117.5,0.058014903
35.5,-117.0,0.063753955
37.0,-117.0,0.055964462
37.5,-117.0,0.04916852
38.0,-117.0,0.04888054
38.5,-117.0,0.0605797
39.5,-117.0,0.05633976
40.0,-117.0,0.061795387
32.0,-116.5,0.06796011
32.5,-116.5,0.07798487
33.0,-116.5,0.08531282
33.5,-116.5,0.0942367
34.5,-116.5,0.06317844
35.0,-116.5,0.05519413
35.5,-116.5,0.06583586
36.0,-116.5,0.07503101
36.5,-116.5,0.058022767
37.0,-116.5,0.043220703
37.5,-116.5,0.03848476
38.0,-116.5,0.040139638
38.5,-116.5,0.05528883
39.0,-116.5,0.06299651
39.5,-116.5,0.073803656
40.0,-116.5,0.08577275
31.5,-116.0,0.08205192
32.0,-116.0,0.09433608
32.5,-116.0,0.095236845
33.0,-116.0,0.09468382
34.0,-116.0,0.071341746
34.5,-116.0,0.06682074
35.0,-116.0,0.05722314
35.5,-116.0,0.055958286
36.0,-116.0,0.07238846
36.5,-116.0,0.067090884
37.0,-116.0,0.04565852
37.5,-116.0,0.039182916
38.0,-116.0,0.04338801
38.5,-116.0,0.05888914
39.0,-116.0,0.059131976
39.5,-116.0,0.099734806
40.0,-116.0,0.121262535
30.5,-115.5,0.097337104
31.0,-115.5,0.10783297
31.5,-115.5,0.102369465
32.0,-115.5,0.09952894
32.5,-115.5,0.123831645
34.0,-115.5,0.0775605
34.5,-115.5,0.066760585
35.0,-115.5,0.050848123
35.5,-115.5,0.06012948
36.0,-115.5,0.07387806
36.5,-115.5,0.08577023
37.0,-115.5,0.069818266
37.5,-115.5,0.052876092
38.0,-115.5,0.054293737
38.5,-115.5,0.08965022
39.0,-115.5,0.08655959
39.5,-115.5,0.097935535
40.0,-115.5,0.12051842
29.5,-115.0,0.101873636
30.0,-115.0,0.09342639
30.5,-115.0,0.10117957
31.5,-115.0,0.21815543
32.0,-115.0,0.28271806
32.5,-115.0,0.13901824
33.0,-115.0,0.098299265
33.5,-115.0,0.08302212
34.0,-115.0,0.07102603
34.5,-115.0,0.06621962
35.0,-115.0,0.062881656
