lat,long,smap_sm
39.0,-123.0,0.3255677
39.0,-122.5,0.20421138
39.5,-122.5,0.18692464
40.0,-122.5,0.15547062
39.0,-122.0,0.32266036
39.5,-122.0,0.3584984
40.0,-122.0,0.18488961
37.5,-121.5,0.13320987
39.0,-121.5,0.30283287
35.5,-121.0,0.12770195
36.0,-121.0,0.13151556
36.5,-121.0,0.12656647
37.0,-121.0,0.19451305
37.5,-121.0,0.15328571
38.0,-121.0,0.22837292
38.5,-121.0,0.26879352
39.0,-121.0,0.32723662
35.5,-120.5,0.106723525
36.0,-120.5,0.11053394
36.5,-120.5,0.15705633
37.0,-120.5,0.21917807
37.5,-120.5,0.22674432
35.0,-120.0,0.09849045
35.5,-120.0,0.1013347
36.0,-120.0,0.12348987
36.5,-120.0,0.160694
37.5,-120.0,0.19380887
34.5,-119.5,0.11412759
35.0,-119.5,0.10537639
35.5,-119.5,0.121342756
36.0,-119.5,0.15920642
36.5,-119.5,0.14861917
37.0,-119.5,0.13714558
39.0,-119.5,0.08898317
39.5,-119.5,0.09743021
34.5,-119.0,0.10947086
35.0,-119.0,0.122013204
35.5,-119.0,0.122412026
36.0,-119.0,0.13017254
36.5,-119.0,0.1287299
38.0,-119.0,0.12571752
38.5,-119.0,0.08851192
39.0,-119.0,0.08421789
39.5,-119.0,0.08688229
40.0,-119.0,0.093842894
34.5,-118.5,0.08645011
35.0,-118.5,0.07656369
35.5,-118.5,0.09658791
38.0,-118.5,0.07001063
39.0,-118.5,0.089774065
39.5,-118.5,0.14403197
40.0,-118.5,0.1559765
34.5,-118.0,0.06111625
35.0,-118.0,0.048984937
35.5,-118.0,0.06388243
36.0,-118.0,0.08774131
36.5,-118.0,0.10965704
37.0,-118.0,0.07635416
37.5,-118.0,0.07047589
38.0,-118.0,0.07142941
38.5,-118.0,0.07212697
39.0,-118.0,0.0701222
39.5,-118.0,0.121655494
40.0,-118.0,0.1775392
34.5,-117.5,0.049390864
35.0,-117.5,0.04753551
35.5,-117.5,0.061175816
36.0,-117.5,0.07837446
36.5,-117.5,0.085092686
37.5,-117.5,0.063758016
38.0,-117.5,0.0700565
38.5,-117.5,0.057382412
39.0,-117.5,0.07397492
39.5,-117.5,0.08727968
40.0,-117.5,0.089515
34.5,-117.0,0.058207314
35.0,-117.0,0.05557063
35.5,-117.0,0.066708475
38.0,-117.0,0.055462003
38.5,-117.0,0.05695998
40.0,-117.0,0.092047475
33.0,-116.5,0.11525949
33.5,-116.5,0.106208004
34.5,-116.5,0.07020553
35.0,-116.5,0.063469574
35.5,-116.5,0.06532691
36.0,-116.5,0.06873756
36.5,-116.5,0.04519444
37.0,-116.5,0.046697512
37.5,-116.5,0.048575975
38.0,-116.5,0.04993147
38.5,-116.5,0.069290236
39.0,-116.5,0.06999382
39.5,-116.5,0.082446516
40.0,-116.5,0.09520897
34.0,-116.0,0.08177541
34.5,-116.0,0.06979747
35.0,-116.0,0.05903868
35.5,-116.0,0.05920002
36.0,-116.0,0.062467206
36.5,-116.0,0.06464322
37.0,-116.0,0.048752572
37.5,-116.0,0.04620073
38.0,-116.0,0.05666954
39.0,-116.0,0.06690271
39.5,-116.0,0.08608552
40.0,-116.0,0.10021529
35.0,-115.5,0.048229225
35.5,-115.5,0.06167735
36.0,-115.5,0.068954594
36.5,-115.5,0.073314816
37.5,-115.5,0.047953207
38.0,-115.5,0.059768386
38.5,-115.5,0.08969456
39.0,-115.5,0.06990826
39.5,-115.5,0.0821191
36.5,-115.0,0.083666794
37.0,-115.0,0.06549044
37.5,-115.0,0.057184063
38.0,-115.0,0.057894625
38.5,-115.0,0.07106453
39.0,-115.0,0.08265176
39.5,-115.0,0.08495948
40.0,-115.0,0.089228645
38.0,-114.5,0.064791106
38.5,-114.5,0.0684188
40.0,-114.5,0.07273988
39.5,-114.0,0.07422339
21.0,-105.0,0.21190201
22.0,-105.0,0.19354464
22.5,-105.0,0.19233476
23.0,-105.0,0.15960681
23.5,-105.0,0.1470522
24.5,-105.0,0.12587442
20.0,-104.5,0.20180745
20.5,-104.5,0.2000044
21.0,-104.5,0.21432897
21.5,-104.5,0.23802698
22.0,-104.5,0.1962507
22.5,-104.5,0.15637401
23.0,-104.5,0.14612955
23.5,-104.5,0.12017084
24.0,-104.5,0.14259563
24.5,-104.5,0.109024964
25.0,-104.5,0.120175615
25.5,-104.5,0.11745104
26.0,-104.5,0.09897934
26.5,-104.5,0.10514263
19.5,-104.0,0.17125228
20.0,-104.0,0.19549204
20.5,-104.0,0.18105602
21.0,-104.0,0.1925064
21.5,-104.0,0.17523745
22.0,-104.0,0.15967718
22.5,-104.0,0.1450124
23.0,-104.0,0.13923445
23.5,-104.0,0.12711681
24.0,-104.0,0.12212269
24.5,-104.0,0.08485468
25.0,-104.0,0.12592646
25.5,-104.0,0.13290177
26.0,-104.0,0.10840784
26.5,-104.0,0.1166942
27.0,-104.0,0.11561847
27.5,-104.0,0.10346311
28.0,-104.0,0.09892076
28.5,-104.0,0.09015983
19.0,-103.5,0.21508963
19.5,-103.5,0.16834483
20.0,-103.5,0.2077193
20.5,-103.5,0.23608051
21.0,-103.5,0.15061277
21.5,-103.5,0.1481832
22.0,-103.5,0.12431927
22.5,-103.5,0.12403037
23.0,-103.5,0.1216161
23.5,-103.5,0.10738261
24.0,-103.5,0.09926993
24.5,-103.5,0.1073065
25.0,-103.5,0.12575214
26.0,-103.5,0.11156075
26.5,-103.5,0.098772004
27.0,-103.5,0.10164766
27.5,-103.5,0.103848696
28.0,-103.5,0.1055737
28.5,-103.5,0.10333301
29.0,-103.5,0.115817524
29.5,-103.5,0.105349846
30.0,-103.5,0.090130106
30.5,-103.5,0.08986321
31.0,-103.5,0.095285095
31.5,-103.5,0.069110185
32.0,-103.5,0.042599656
19.0,-103.0,0.1853928
19.5,-103.0,0.18675116
20.0,-103.0,0.1515424
20.5,-103.0,0.18258756
21.0,-103.0,0.15390298
21.5,-103.0,0.14689288
22.0,-103.0,0.11924641
22.5,-103.0,0.11635265
23.0,-103.0,0.10679529
23.5,-103.0,0.10307065
24.0,-103.0,0.09942979
24.5,-103.0,0.11107427
25.0,-103.0,0.109966785
25.5,-103.0,0.10054122
26.0,-103.0,0.10161606
26.5,-103.0,0.09791532
27.0,-103.0,0.100596145
27.5,-103.0,0.10201071
28.0,-103.0,0.10424226
28.5,-103.0,0.10444677
29.0,-103.0,0.11066836
29.5,-103.0,0.12258497
30.0,-103.0,0.10416745
30.5,-103.0,0.09981175
31.0,-103.0,0.09210313
31.5,-103.0,0.06442688
32.0,-103.0,0.04553956
32.5,-103.0,0.059518322
33.0,-103.0,0.07420832
33.5,-103.0,0.07258672
18.5,-102.5,0.22838533
19.0,-102.5,0.1992206
19.5,-102.5,0.22358865
20.0,-102.5,0.19232368
20.5,-102.5,0.18351871
21.0,-102.5,0.16091289
21.5,-102.5,0.13929684
22.0,-102.5,0.1388861
22.5,-102.5,0.1113864
23.0,-102.5,0.10401987
23.5,-102.5,0.10724297
24.0,-102.5,0.096756056
24.5,-102.5,0.102631465
25.0,-102.5,0.10396908
25.5,-102.5,0.10486016
26.0,-102.5,0.10434299
26.5,-102.5,0.10596082
27.0,-102.5,0.10337407
27.5,-102.5,0.10652974
28.0,-102.5,0.103570245
28.5,-102.5,0.1066248
29.0,-102.5,0.113893084
29.5,-102.5,0.12627853
30.0,-102.5,0.12204039
30.5,-102.5,0.11988683
31.0,-102.5,0.08810818
31.5,-102.5,0.058887713
32.5,-102.5,0.060015988
33.0,-102.5,0.06228005
33.5,-102.5,0.0717611
34.0,-102.5,0.086249836
34.5,-102.5,0.13680635
35.0,-102.5,0.1246854
35.5,-102.5,0.115166746
18.0,-102.0,0.2642241
18.5,-102.0,0.14011446
19.0,-102.0,0.1744448
19.5,-102.0,0.22019741
20.0,-102.0,0.21882682
20.5,-102.0,0.1799362
21.0,-102.0,0.1512228
21.5,-102.0,0.13413833
22.0,-102.0,0.10408968
22.5,-102.0,0.10624862
23.0,-102.0,0.095662385
23.5,-102.0,0.103352055
24.0,-102.0,0.10257107
24.5,-102.0,0.10612589
25.0,-102.0,0.099894844
25.5,-102.0,0.10441707
26.0,-102.0,0.10071758
26.5,-102.0,0.11232144
27.0,-102.0,0.123665065
27.5,-102.0,0.10914435
28.0,-102.0,0.13417175
28.5,-102.0,0.13700373
29.0,-102.0,0.14061415
29.5,-102.0,0.12345911
30.0,-102.0,0.120282106
30.5,-102.0,0.12389561
31.0,-102.0,0.10211782
31.5,-102.0,0.07611186
32.0,-102.0,0.06288106
32.5,-102.0,0.06568134
33.0,-102.0,0.07991332
33.5,-102.0,0.079357445
