lat,long,smap_sm
35.0,-118.0,0.053764746
35.5,-118.0,0.063249335
36.0,-118.0,0.064833485
36.5,-118.0,0.10161581
35.0,-117.5,0.047227558
35.5,-117.5,0.06710399
36.0,-117.5,0.09135615
36.5,-117.5,0.09845632
37.0,-117.5,0.073298246
37.5,-117.5,0.057882033
38.0,-117.5,0.055009767
35.5,-117.0,0.07151993
37.0,-117.0,0.053951293
37.5,-117.0,0.045351133
38.0,-117.0,0.045314163
38.5,-117.0,0.05033494
39.5,-117.0,0.04303929
40.0,-117.0,0.041371226
32.0,-116.5,0.073889025
32.5,-116.5,0.08993105
33.0,-116.5,0.08656526
33.5,-116.5,0.09749626
34.5,-116.5,0.06597748
35.0,-116.5,0.060734257
35.5,-116.5,0.06605077
36.0,-116.5,0.0766281
36.5,-116.5,0.07438358
37.0,-116.5,0.046732552
37.5,-116.5,0.040552184
38.0,-116.5,0.03883103
38.5,-116.5,0.05255214
39.0,-116.5,0.05469916
39.5,-116.5,0.041686285
40.0,-116.5,0.048517033
31.5,-116.0,0.09007273
32.0,-116.0,0.09554478
32.5,-116.0,0.11221122
33.0,-116.0,0.10987992
34.0,-116.0,0.07766375
34.5,-116.0,0.07533108
35.0,-116.0,0.0657801
35.5,-116.0,0.057678036
36.0,-116.0,0.06396301
36.5,-116.0,0.07740137
37.0,-116.0,0.050905127
37.5,-116.0,0.0438979
38.0,-116.0,0.042981572
38.5,-116.0,0.049128227
39.0,-116.0,0.044930965
39.5,-116.0,0.06079696
40.0,-116.0,0.055638492
30.5,-115.5,0.10078039
31.0,-115.5,0.12024028
31.5,-115.5,0.11126932
32.0,-115.5,0.11320919
32.5,-115.5,0.15955886
33.5,-115.5,0.08910147
34.0,-115.5,0.07849182
34.5,-115.5,0.08151873
35.0,-115.5,0.05191293
35.5,-115.5,0.05975236
36.0,-115.5,0.07207453
36.5,-115.5,0.079084985
37.0,-115.5,0.057049323
37.5,-115.5,0.05122862
38.0,-115.5,0.051566705
38.5,-115.5,0.06982749
39.0,-115.5,0.051876336
39.5,-115.5,0.04956765
