lat,long,smap_sm
39.0,-123.0,0.15671524
39.0,-122.5,0.16307929
39.5,-122.5,0.1670059
40.0,-122.5,0.114578635
39.0,-122.0,0.24638456
39.5,-122.0,0.27847734
40.0,-122.0,0.12720214
37.5,-121.5,0.08294093
39.0,-121.5,0.16369121
39.5,-121.5,0.28584722
36.5,-121.0,0.09583166
37.0,-121.0,0.11788489
37.5,-121.0,0.16615869
38.0,-121.0,0.13260421
38.5,-121.0,0.11802964
39.0,-121.0,0.17522019
39.5,-120.0,0.08168174
40.0,-120.0,0.072656445
27.5,-110.0,0.14665155
28.0,-110.0,0.13868865
28.5,-110.0,0.12413341
29.0,-110.0,0.09541076
29.5,-110.0,0.096487775
27.0,-109.5,0.14174947
27.5,-109.5,0.12091541
28.0,-109.5,0.1201747
28.5,-109.5,0.14536572
29.5,-109.5,0.20714441
30.0,-109.5,0.14369273
30.5,-109.5,0.136394
31.0,-109.5,0.10554496
31.5,-109.5,0.07862133
26.0,-109.0,0.18784255
26.5,-109.0,0.17313012
27.0,-109.0,0.12760444
27.5,-109.0,0.08820301
28.0,-109.0,0.13255666
28.5,-109.0,0.12703852
29.0,-109.0,0.105702266
29.5,-109.0,0.13339035
30.0,-109.0,0.13368192
30.5,-109.0,0.12187523
31.0,-109.0,0.10068084
31.5,-109.0,0.11500061
32.0,-109.0,0.11324604
32.5,-109.0,0.110064276
33.0,-109.0,0.14759187
33.5,-109.0,0.1705924
34.0,-109.0,0.21460567
26.0,-108.5,0.18500608
26.5,-108.5,0.18731368
27.0,-108.5,0.20396535
27.5,-108.5,0.15435827
28.0,-108.5,0.14849971
28.5,-108.5,0.14482036
29.0,-108.5,0.13133043
29.5,-108.5,0.13613318
30.0,-108.5,0.13746779
30.5,-108.5,0.11383353
31.0,-108.5,0.10546769
31.5,-108.5,0.10918681
32.0,-108.5,0.121261254
32.5,-108.5,0.13174483
33.0,-108.5,0.18223855
33.5,-108.5,0.20757706
34.0,-108.5,0.23204072
35.0,-108.5,0.16842593
35.5,-108.5,0.20788464
36.5,-108.5,0.099749655
25.5,-108.0,0.19109775
26.0,-108.0,0.1937267
27.5,-108.0,0.15510276
28.0,-108.0,0.16351342
28.5,-108.0,0.14504066
29.0,-108.0,0.12473429
29.5,-108.0,0.12859733
30.0,-108.0,0.120554194
30.5,-108.0,0.09270671
31.0,-108.0,0.10378635
31.5,-108.0,0.1213678
32.0,-108.0,0.11002877
32.5,-108.0,0.13637576
33.0,-108.0,0.21732996
33.5,-108.0,0.19992007
35.0,-108.0,0.21276243
37.0,-108.0,0.10297779
25.0,-107.5,0.20760663
25.5,-107.5,0.19388513
27.0,-107.5,0.15280351
27.5,-107.5,0.15704383
28.0,-107.5,0.13155076
28.5,-107.5,0.117179535
29.0,-107.5,0.101549104
29.5,-107.5,0.09594333
30.0,-107.5,0.10032408
30.5,-107.5,0.088705175
31.0,-107.5,0.099083476
31.5,-107.5,0.12485959
32.0,-107.5,0.11339548
32.5,-107.5,0.12857924
33.0,-107.5,0.16141367
33.5,-107.5,0.16701078
34.0,-107.5,0.15943402
36.5,-107.5,0.15746519
37.0,-107.5,0.1630548
39.0,-107.5,0.1709172
24.5,-107.0,0.22713281
26.0,-107.0,0.16463217
26.5,-107.0,0.14018807
27.0,-107.0,0.14632694
27.5,-107.0,0.14231579
28.0,-107.0,0.1274595
28.5,-107.0,0.13277778
29.0,-107.0,0.090864785
29.5,-107.0,0.079985335
30.0,-107.0,0.08634658
30.5,-107.0,0.0913014
31.0,-107.0,0.103924565
31.5,-107.0,0.11685072
32.5,-107.0,0.13660201
33.0,-107.0,0.12097273
33.5,-107.0,0.13171613
34.0,-107.0,0.14143713
36.5,-107.0,0.2275542
37.0,-107.0,0.20108896
26.0,-106.5,0.15586622
26.5,-106.5,0.14087111
27.0,-106.5,0.122562654
27.5,-106.5,0.12498489
28.0,-106.5,0.116795905
28.5,-106.5,0.13120836
29.0,-106.5,0.09483478
29.5,-106.5,0.07797806
30.0,-106.5,0.07858098
30.5,-106.5,0.086125374
31.0,-106.5,0.090499185
31.5,-106.5,0.06738417
33.5,-106.5,0.14836709
25.0,-106.0,0.16610679
25.5,-106.0,0.15145367
26.0,-106.0,0.14419983
26.5,-106.0,0.121873885
27.0,-106.0,0.10885138
27.5,-106.0,0.106318034
28.0,-106.0,0.099621415
28.5,-106.0,0.09850514
29.0,-106.0,0.09305054
29.5,-106.0,0.08134988
30.0,-106.0,0.080424845
30.5,-106.0,0.07501893
31.0,-106.0,0.07594438
31.5,-106.0,0.09295902
32.0,-106.0,0.12155732
32.5,-106.0,0.13052583
33.0,-106.0,0.1995577
33.5,-106.0,0.19294885
24.0,-105.5,0.19381198
24.5,-105.5,0.15407687
25.0,-105.5,0.13347849
25.5,-105.5,0.11478849
26.0,-105.5,0.11333969
26.5,-105.5,0.10293044
27.0,-105.5,0.096531026
27.5,-105.5,0.10780486
28.0,-105.5,0.11633538
28.5,-105.5,0.12051535
29.0,-105.5,0.10744023
29.5,-105.5,0.082432486
30.5,-105.5,0.08283536
31.0,-105.5,0.08932075
31.5,-105.5,0.088312894
32.0,-105.5,0.121371314
32.5,-105.5,0.14914544
33.0,-105.5,0.2507764
21.0,-105.0,0.20121635
22.0,-105.0,0.22439623
22.5,-105.0,0.23209172
23.0,-105.0,0.19780266
23.5,-105.0,0.17713025
24.0,-105.0,0.15320343
24.5,-105.0,0.14003947
25.0,-105.0,0.14816974
25.5,-105.0,0.13468029
