,long,lat,sr
0,-180.0,-37.0,147.92236960725384
1,-180.0,-36.5,154.73837467343762
2,-180.0,-36.0,154.33226681333358
3,-180.0,-35.5,148.84895877719387
4,-180.0,-35.0,147.04110942372813
5,-180.0,-34.5,158.23243068448647
6,-180.0,-34.0,151.17828000765743
7,-180.0,-33.5,151.77314334879432
8,-180.0,-33.0,154.20165419293755
9,-180.0,-32.5,149.32246800360207
10,-180.0,-32.0,153.5389185292578
11,-180.0,-31.5,162.32065942069036
12,-180.0,-31.0,151.00005717499752
13,-180.0,-30.5,149.92395876059487
14,-180.0,-30.0,155.88659019423167
15,-180.0,-29.5,151.45108397097283
16,-180.0,-29.0,150.68677019578217
17,-180.0,-28.5,152.75044172103915
18,-180.0,-28.0,153.91529950838296
19,-180.0,-27.5,150.58790848764025
20,-180.0,-27.0,153.7477646405493
21,-180.0,-26.5,150.13424589172308
22,-180.0,-26.0,151.41981599918685
23,-180.0,-25.5,152.97807133709358
24,-180.0,-25.0,150.20829257960008
25,-180.0,-24.5,153.26172670666898
26,-180.0,-24.0,149.97545107033858
27,-180.0,-23.5,152.43186834394982
28,-180.0,-23.0,153.0447567558255
29,-180.0,-22.5,154.10647933107614
30,-180.0,-21.5,151.88324997104127
31,-180.0,-21.0,152.1201153070801
32,-180.0,-20.5,150.45448093061393
33,-180.0,-20.0,150.89986714230207
34,-180.0,-19.5,154.37318130002225
35,-180.0,-18.0,147.89865920664204
36,-180.0,-17.5,148.81472254523663
37,-180.0,-17.0,149.63282444582006
38,-180.0,-16.5,152.743900282018
39,-180.0,-16.0,148.86039053253901
40,-180.0,-15.5,148.73470314577114
41,-180.0,-15.0,149.38592601679105
42,-180.0,-14.5,149.97360253867626
43,-180.0,-14.0,148.84991341486307
44,-180.0,-13.5,150.08389049784947
45,-180.0,-13.0,151.77022602201603
46,-180.0,-12.5,153.21694680463114
47,-180.0,-12.0,149.4019540736903
48,-180.0,-11.0,151.71020690047928
49,-180.0,-10.5,148.72398067115557
50,-180.0,-10.0,153.64086223846584
51,-180.0,-9.5,149.91481146971165
52,-180.0,-8.5,151.78655620549137
53,-180.0,-8.0,148.8016150401117
54,-180.0,-7.5,149.1930544354446
55,-180.0,-7.0,148.5244631653847
56,-180.0,-6.5,147.32695398932574
57,-180.0,-6.0,146.9973967580345
58,-180.0,-5.5,145.7167908247291
59,-180.0,-5.0,149.7146350487379
60,-180.0,-4.5,149.12753102424196
61,-180.0,-4.0,151.1128881391014
62,-180.0,-3.5,148.7437408770898
63,-180.0,-3.0,148.17569335564806
64,-180.0,-2.5,150.8881541711668
65,-180.0,-2.0,147.67529312663444
66,-180.0,-1.5,147.51355122216634
67,-180.0,-0.5,145.3815851835964
68,-180.0,0.0,151.89705801875408
69,-180.0,0.5,154.02059709158272
70,-180.0,1.0,146.91053946220038
71,-180.0,1.5,152.23630334710248
72,-180.0,2.0,149.25302563989754
73,-180.0,2.5,152.24218214774618
74,-180.0,3.0,152.64644844130882
75,-180.0,3.5,162.1631065994071
76,-180.0,4.0,148.61679140822667
77,-180.0,4.5,157.4592379813465
78,-180.0,5.0,150.13248343986822
79,-180.0,5.5,149.60639905859824
80,-180.0,6.5,149.02761446562866
81,-180.0,7.0,148.8977511722395
82,-180.0,7.5,148.19732143284745
83,-180.0,8.0,149.50105237850045
84,-180.0,8.5,151.05174642871202
85,-180.0,9.0,149.16391704112135
86,-180.0,9.5,153.24727838990722
87,-180.0,10.0,149.6575156008604
88,-180.0,10.5,148.62339365293943
89,-180.0,12.5,164.6439221021803
90,-180.0,13.0,155.889465137959
91,-180.0,13.5,169.9800661953473
92,-180.0,14.0,151.02761897948238
93,-180.0,14.5,149.94390102969217
94,-180.0,15.0,151.48885221462436
95,-180.0,15.5,148.3460460387843
96,-180.0,16.0,149.67908909089846
97,-180.0,16.5,147.47302153488013
98,-180.0,17.5,154.8580849677975
99,-180.0,18.0,150.5486128650882
100,-180.0,18.5,152.61902456504404
101,-180.0,19.0,152.90198798323362
102,-180.0,19.5,147.064179378238
103,-180.0,20.0,147.7899584992827
104,-180.0,20.5,148.42070163445376
105,-180.0,21.0,149.48628751047667
106,-180.0,21.5,149.99260032680516
107,-180.0,22.0,153.76761289080991
108,-180.0,22.5,150.08603215855533
109,-180.0,23.0,155.3186738073261
110,-180.0,24.0,148.20910556572258
111,-180.0,24.5,150.05528100683281
112,-180.0,25.0,148.87419736761623
113,-180.0,25.5,149.59973093478948
114,-180.0,26.0,152.39101773401077
115,-180.0,26.5,153.43902251219222
116,-180.0,27.0,154.1437286819793
117,-180.0,27.5,151.91213606781284
118,-180.0,28.0,156.8233168978306
119,-180.0,28.5,158.79151106728773
120,-180.0,29.0,159.60774941871998
121,-180.0,29.5,158.8471475178625
122,-180.0,30.0,160.11341839124708
123,-180.0,30.5,158.41407676178125
124,-180.0,31.0,151.09874625835425
125,-180.0,31.5,156.95843879637107
126,-180.0,32.0,153.81467778027113
127,-180.0,32.5,152.93093999561515
128,-180.0,33.0,152.1364111433036
129,-180.0,33.5,153.2067772132118
130,-180.0,34.0,159.77015217581604
131,-180.0,34.5,157.06806153538017
132,-180.0,35.0,152.57278212798604
133,-180.0,35.5,153.65525661088853
134,-180.0,36.0,154.91487674813305
135,-180.0,36.5,153.4454575369708
136,-180.0,37.0,156.20074365169526
137,-180.0,37.5,170.69811760006516
138,-180.0,38.0,170.61171702844277
139,-179.5,-37.0,147.86794295414168
140,-179.5,-36.5,153.17894312747413
141,-179.5,-36.0,152.87852451318042
142,-179.5,-35.5,151.3547051449159
143,-179.5,-35.0,147.34402693673042
144,-179.5,-34.5,153.81220874774527
145,-179.5,-34.0,150.8989911026669
146,-179.5,-33.5,149.8425396520652
147,-179.5,-33.0,154.29675073707588
148,-179.5,-32.5,149.57086712547314
149,-179.5,-32.0,155.20766026103178
150,-179.5,-31.5,158.8625168327725
151,-179.5,-31.0,151.2254825772401
152,-179.5,-30.5,149.402473888707
153,-179.5,-30.0,156.48795193233144
154,-179.5,-29.5,150.23256533853632
155,-179.5,-29.0,151.78069480145294
156,-179.5,-28.5,152.81647841351443
157,-179.5,-28.0,152.26974141466496
158,-179.5,-27.5,150.9740687770124
159,-179.5,-27.0,153.83147392751482
160,-179.5,-26.5,150.78587416099228
161,-179.5,-26.0,152.75197832973478
162,-179.5,-25.5,151.55435499347658
163,-179.5,-25.0,150.51614498804233
164,-179.5,-24.5,153.0249134621193
165,-179.5,-24.0,152.03204863799107
166,-179.5,-23.5,150.57474677357996
167,-179.5,-23.0,152.84125490494054
168,-179.5,-22.5,153.44644979965415
169,-179.5,-22.0,151.39021636452762
170,-179.5,-21.5,150.62801036166417
171,-179.5,-21.0,153.8897883195494
172,-179.5,-20.5,149.77641399968712
173,-179.5,-20.0,151.64332029467596
174,-179.5,-19.5,155.21742151647817
175,-179.5,-18.0,147.96631750771564
176,-179.5,-17.5,150.40831084622883
177,-179.5,-17.0,149.0322839227542
178,-179.5,-16.5,152.39209078300308
179,-179.5,-16.0,150.48655051417262
180,-179.5,-15.5,149.45605328235942
181,-179.5,-15.0,148.62300958490397
182,-179.5,-14.5,149.58225506343237
183,-179.5,-14.0,148.88546190620107
184,-179.5,-13.5,151.88255468845904
185,-179.5,-13.0,150.8653797121145
186,-179.5,-12.5,151.04438088649354
187,-179.5,-12.0,149.24012466784606
188,-179.5,-11.5,149.76744724735738
189,-179.5,-11.0,152.30568734233452
190,-179.5,-10.5,152.58381865995372
191,-179.5,-10.0,151.03969070967295
192,-179.5,-9.5,150.64969536852746
193,-179.5,-9.0,151.18392373561994
194,-179.5,-8.5,151.86997115368257
195,-179.5,-8.0,150.8239220363489
196,-179.5,-7.5,149.22447304856513
197,-179.5,-7.0,147.19834283979725
198,-179.5,-6.5,147.09889299340995
199,-179.5,-6.0,146.6657354168371
200,-179.5,-5.5,145.99342845537757
201,-179.5,-4.5,149.9615620516861
202,-179.5,-4.0,149.3907312819996
203,-179.5,-3.5,151.15287240316903
204,-179.5,-3.0,149.55255365367523
205,-179.5,-2.5,150.4899617489853
206,-179.5,-1.5,147.7122469075901
207,-179.5,-1.0,147.25976346251545
208,-179.5,-0.5,149.61110941435805
209,-179.5,0.0,149.3990051719698
210,-179.5,0.5,151.75257942039204
211,-179.5,1.0,156.98313191565006
212,-179.5,1.5,150.23722906846476
213,-179.5,2.0,148.0314802494568
214,-179.5,2.5,149.81744400734712
215,-179.5,3.0,154.222940414828
216,-179.5,3.5,151.37224645926005
217,-179.5,4.0,167.62662571282857
218,-179.5,4.5,161.11090232266218
219,-179.5,5.0,149.65343537205814
220,-179.5,5.5,149.5793046789685
221,-179.5,6.0,149.65105228696515
222,-179.5,6.5,152.85668584993022
223,-179.5,7.0,156.62615178468485
224,-179.5,7.5,148.0088661404203
225,-179.5,8.0,151.88650581039772
226,-179.5,8.5,151.90428372204602
227,-179.5,9.0,151.7548044323079
228,-179.5,9.5,150.4547105989061
229,-179.5,10.0,149.0269819722925
230,-179.5,10.5,150.03656812480344
231,-179.5,12.0,173.80468409430878
232,-179.5,12.5,175.9613670395306
233,-179.5,13.0,159.99549693424598
234,-179.5,13.5,150.89805584735848
235,-179.5,14.0,151.03523274628634
236,-179.5,14.5,151.11473523186692
237,-179.5,15.0,151.2344061252373
238,-179.5,15.5,148.95740022492413
239,-179.5,16.0,149.6575551577228
240,-179.5,16.5,147.44114491016936
241,-179.5,17.0,152.2582135974244
242,-179.5,17.5,154.486884628316
243,-179.5,18.0,149.49881375556538
244,-179.5,18.5,152.43754546414928
245,-179.5,19.0,152.86224231900655
246,-179.5,19.5,147.31862745392235
247,-179.5,20.0,147.04491529497486
248,-179.5,20.5,148.8274239876081
249,-179.5,21.0,149.9918592146944
250,-179.5,21.5,154.1959314700899
251,-179.5,22.0,150.8702388304068
252,-179.5,22.5,150.1245148661361
253,-179.5,23.0,153.70333990827922
254,-179.5,23.5,149.78558311804883
255,-179.5,24.0,147.90493935885922
256,-179.5,24.5,149.45473771864346
257,-179.5,25.0,149.51634757244963
258,-179.5,25.5,148.98202034362825
259,-179.5,26.0,151.51490635860713
260,-179.5,26.5,153.42801854073466
261,-179.5,27.0,153.95401129911008
262,-179.5,27.5,152.9677618712684
263,-179.5,28.0,156.83829460810148
264,-179.5,28.5,159.0845033798355
265,-179.5,29.0,157.75268014430264
266,-179.5,29.5,159.2934683127287
267,-179.5,30.0,160.589640500314
268,-179.5,30.5,157.6955098132436
269,-179.5,31.0,154.92216018049936
270,-179.5,31.5,157.09176603516823
271,-179.5,32.0,154.14111267819965
272,-179.5,32.5,149.67564279516813
273,-179.5,33.0,154.3372148179531
274,-179.5,33.5,151.66503838291834
275,-179.5,34.0,161.4878424915114
276,-179.5,34.5,157.103540268587
