,long,lat,sr
0,-180.0,-40.5,173.97199676387032
1,-180.0,-40.0,174.46950020145087
2,-180.0,-39.5,156.5289841332329
3,-180.0,-38.5,160.24009429299537
4,-180.0,-37.5,157.48501679642985
5,-180.0,-37.0,158.90651428143144
6,-180.0,-36.5,154.8821121881983
7,-180.0,-36.0,157.52235953009892
8,-180.0,-35.5,155.2104422683044
9,-180.0,-35.0,153.63643809727074
10,-180.0,-34.5,153.13332503168309
11,-180.0,-34.0,152.23232344435763
12,-180.0,-33.5,158.25462713293757
13,-180.0,-33.0,156.90521584083783
14,-180.0,-32.5,152.7506225855971
15,-180.0,-32.0,169.40486429333473
16,-180.0,-31.5,150.58749559984494
17,-180.0,-31.0,156.0701670763118
18,-180.0,-30.5,150.91923923836683
19,-180.0,-30.0,150.855287902714
20,-180.0,-29.5,151.13550080425054
21,-180.0,-29.0,150.26757342341313
22,-180.0,-28.5,150.12279095744992
23,-180.0,-28.0,149.95010800097185
24,-180.0,-27.5,151.22949532707216
25,-180.0,-27.0,151.1350300914822
26,-180.0,-26.5,153.62603042883407
27,-180.0,-26.0,156.96901049535623
28,-180.0,-25.5,164.09312469958147
29,-180.0,-25.0,156.44373922978926
30,-180.0,-24.5,151.80279433139657
31,-180.0,-24.0,150.7204967919911
32,-180.0,-23.5,159.44166390728245
33,-180.0,-23.0,153.62550150964051
34,-180.0,-22.5,157.1511661810315
35,-180.0,-22.0,150.73908996678205
36,-180.0,-21.0,146.86147735737714
37,-180.0,-20.5,152.14044971412804
38,-180.0,-20.0,153.04608701819876
39,-180.0,-19.5,157.85806748109226
40,-180.0,-19.0,162.26632069207815
41,-180.0,-18.0,167.67706418164272
42,-180.0,-17.5,152.4148247658113
43,-180.0,-17.0,156.95432064993153
44,-180.0,-16.5,150.17464623340075
45,-180.0,-16.0,151.2298083283479
46,-180.0,-15.5,145.6862151347171
47,-180.0,-15.0,153.52065478833035
48,-180.0,-14.5,145.92737432000166
49,-180.0,-14.0,149.1407544207664
50,-180.0,-13.5,146.63587840699464
51,-180.0,-13.0,146.782713717764
52,-180.0,-12.5,150.88502782218615
53,-180.0,-12.0,147.84055417013911
54,-180.0,-11.0,151.8821000499322
55,-180.0,-10.5,152.0377102106368
56,-180.0,-10.0,153.82462857825243
