,long,lat,sr
0,-180.0,-37.5,155.90269317291384
1,-180.0,-37.0,152.74615020599333
2,-180.0,-36.5,159.57278334470277
3,-180.0,-36.0,147.578731622148
4,-180.0,-35.5,149.25612313212446
5,-180.0,-34.5,148.40203466258916
6,-180.0,-34.0,149.81906016641292
7,-180.0,-33.5,151.5173170761252
8,-180.0,-33.0,147.35859539990474
9,-180.0,-32.5,147.51995800455836
10,-180.0,-32.0,152.8943294248405
11,-180.0,-31.5,155.73416534476817
12,-180.0,-31.0,149.09254572869585
13,-180.0,-30.5,146.89426478483495
14,-180.0,-30.0,152.77960882622617
15,-180.0,-29.5,155.1226772103274
16,-180.0,-29.0,147.35631817560585
17,-180.0,-28.5,149.00784951125286
18,-180.0,-28.0,148.56894090039256
19,-180.0,-27.5,149.32240510074976
20,-180.0,-27.0,148.00142627118643
21,-180.0,-26.5,149.2103905853455
22,-180.0,-26.0,153.83235834988142
23,-180.0,-25.5,152.38316425627463
24,-180.0,-25.0,151.3794083094203
25,-180.0,-24.5,151.29324491187126
26,-180.0,-24.0,151.311744672489
27,-180.0,-23.0,153.17994886230562
28,-180.0,-22.5,151.4699819449932
29,-180.0,-22.0,153.6188472356092
30,-180.0,-21.5,150.3138568762512
31,-180.0,-21.0,151.06694101432257
32,-180.0,-20.5,163.1801300559648
33,-180.0,-20.0,151.79618854229983
34,-180.0,-19.5,161.0271785750391
35,-180.0,-18.5,156.68398730650236
36,-180.0,-18.0,150.66212044719364
37,-180.0,-17.5,157.3405359853919
38,-180.0,-16.5,162.64783024649114
39,-180.0,-16.0,157.6228560046365
40,-180.0,-15.5,149.87361402505874
41,-180.0,-15.0,149.86755829242682
42,-180.0,-14.5,149.44815041759523
43,-180.0,-14.0,151.9038156219262
44,-180.0,-13.5,151.96151249684502
45,-180.0,-13.0,159.64878132386946
46,-180.0,-12.5,162.4493387272612
47,-180.0,-12.0,158.4699751819926
48,-180.0,-11.5,155.98319989551956
49,-180.0,-11.0,149.70062725435116
50,-180.0,-10.5,153.10403607373064
51,-180.0,-10.0,152.38471777805057
52,-180.0,-9.5,151.8948817134911
53,-180.0,-9.0,161.48059751329174
54,-180.0,-8.5,150.89674656556292
55,-180.0,-8.0,151.3266029209957
56,-180.0,-7.0,151.55781079291475
57,-180.0,-6.5,159.90423782947528
58,-180.0,-6.0,148.44795039762988
59,-180.0,-5.5,158.97354777560747
60,-180.0,-5.0,148.01490258247497
61,-180.0,-4.5,144.95830562775856
62,-180.0,-4.0,148.2268824087428
63,-180.0,-3.0,145.90512525317033
64,-180.0,-2.5,149.40900789133903
65,-180.0,-2.0,154.1914877405136
66,-180.0,-1.5,154.37585476224274
67,-180.0,-1.0,149.52203439764995
68,-180.0,-0.5,153.70498175575588
69,-180.0,0.0,150.4840788202988
70,-180.0,0.5,153.32259099696276
71,-180.0,2.0,148.4308520636314
72,-180.0,2.5,151.05777063535825
73,-180.0,3.0,150.803507908993
74,-180.0,3.5,147.75685841367067
75,-180.0,4.5,152.57042054038428
76,-180.0,6.0,149.2898176253268
77,-180.0,6.5,148.24089563378158
78,-180.0,7.0,148.82127865076367
79,-180.0,7.5,147.82774547407777
80,-180.0,9.0,148.2121817840827
81,-180.0,10.0,150.37843884490465
82,-180.0,10.5,151.0916389266851
83,-180.0,11.0,147.54157772230488
84,-180.0,11.5,148.90280589034944
85,-180.0,13.0,151.2845443837835
86,-180.0,13.5,146.60276349428668
87,-180.0,14.0,147.63549473750325
88,-180.0,14.5,148.3477418137912
89,-180.0,15.0,149.88896993440488
90,-180.0,15.5,147.9169402255629
91,-180.0,16.5,150.49004595350698
92,-180.0,17.0,149.1747208300621
93,-180.0,17.5,148.61690017410456
94,-180.0,18.5,153.14159713735214
95,-180.0,19.0,151.11800266942038
96,-180.0,19.5,148.9854758363228
97,-180.0,20.0,152.15176959342833
98,-180.0,20.5,148.7107699371739
99,-180.0,21.0,149.14890010859156
100,-180.0,21.5,156.95475919189508
101,-180.0,22.0,158.3921595208779
102,-180.0,22.5,149.69085904069462
103,-180.0,23.0,151.20000337510322
104,-180.0,23.5,153.05621037070475
105,-180.0,24.0,147.95867230399296
106,-180.0,24.5,150.13009848486644
107,-180.0,25.0,152.06259085352914
108,-180.0,25.5,149.74344701813504
109,-180.0,26.0,149.50860923078002
110,-180.0,26.5,150.03886709111418
111,-180.0,27.0,149.73860792918114
112,-180.0,27.5,149.21760768756758
113,-180.0,28.0,148.18239905852724
114,-180.0,28.5,147.6042211527633
115,-180.0,29.0,147.5676566097007
116,-180.0,29.5,147.74457429031511
117,-180.0,30.0,146.13349958929962
118,-180.0,30.5,147.18390966519928
119,-180.0,31.0,146.27498662657928
120,-180.0,31.5,145.6555196175857
121,-180.0,32.0,148.41892167711393
122,-180.0,32.5,147.91056803165776
123,-180.0,33.0,154.1441242554139
124,-180.0,33.5,158.65933521107124
125,-180.0,34.0,148.5116255868537
126,-180.0,34.5,157.5877917813745
127,-180.0,35.0,151.3917182437809
128,-180.0,35.5,153.61628756499846
129,-180.0,36.0,152.23821162604037
130,-180.0,36.5,152.38946836839062
131,-180.0,37.0,151.0907593998753
132,-179.5,-37.5,153.95126491857647
133,-179.5,-37.0,153.43057817614238
134,-179.5,-36.5,160.81916933191746
135,-179.5,-36.0,148.12746298869928
136,-179.5,-35.5,149.08256115719988
137,-179.5,-34.5,148.95754401674796
138,-179.5,-34.0,152.29506722772004
139,-179.5,-33.5,148.84982552668632
140,-179.5,-33.0,147.3954611608494
141,-179.5,-32.5,148.83387519719517
142,-179.5,-32.0,150.63153537222746
143,-179.5,-31.5,154.91443181081632
144,-179.5,-31.0,150.64994967487877
145,-179.5,-30.5,149.75118956338002
146,-179.5,-30.0,152.29229179367414
147,-179.5,-29.5,155.35976481142586
148,-179.5,-29.0,147.84031997033358
149,-179.5,-28.5,149.24788924491253
150,-179.5,-28.0,148.8925722421716
151,-179.5,-27.5,148.86794621628394
152,-179.5,-27.0,155.18102088634237
153,-179.5,-26.5,149.00100709727485
154,-179.5,-26.0,155.59216953226135
155,-179.5,-25.5,149.1938179115752
156,-179.5,-25.0,154.20816490255365
157,-179.5,-24.0,151.59027202424673
