,long,lat,sr
0,-180.0,-37.5,152.13380205948573
1,-180.0,-37.0,156.18318013795434
2,-180.0,-36.5,160.12533110458503
3,-180.0,-36.0,149.47531947324796
4,-180.0,-35.5,150.14084910758103
5,-180.0,-35.0,153.2532753573238
6,-180.0,-34.5,149.51196793611766
7,-180.0,-34.0,147.26257509584497
8,-180.0,-33.5,152.62214352480981
9,-180.0,-33.0,153.907438945186
10,-180.0,-32.5,151.41469958280211
11,-180.0,-32.0,160.9337614954358
12,-180.0,-31.5,156.0129629607541
13,-180.0,-31.0,155.07451057717282
14,-180.0,-30.5,150.9502008732306
15,-180.0,-30.0,150.32779645802282
16,-180.0,-29.5,147.73612416110603
17,-180.0,-29.0,150.7956159710127
18,-180.0,-28.5,153.96536123310344
19,-180.0,-28.0,150.91931910123452
20,-180.0,-27.5,148.21929257559006
21,-180.0,-27.0,148.07595193312974
22,-180.0,-26.5,149.58248291393485
23,-180.0,-26.0,149.8893085159728
24,-180.0,-25.5,148.66867684584528
25,-180.0,-25.0,151.14049739921654
26,-180.0,-24.5,148.94387418331553
27,-180.0,-24.0,149.11055626907546
28,-180.0,-23.0,151.0427752147719
29,-180.0,-22.5,150.96995680435063
30,-180.0,-22.0,153.40476865413532
31,-180.0,-21.5,149.4274978241694
32,-180.0,-21.0,149.1318671477942
33,-180.0,-20.5,152.38163238404778
34,-180.0,-20.0,149.04530624399104
35,-180.0,-19.5,151.8855500426257
36,-180.0,-19.0,155.09781876710517
37,-180.0,-18.5,152.17002689093002
38,-180.0,-18.0,156.9221745634695
39,-180.0,-17.5,155.14626224932005
40,-180.0,-17.0,148.37143380953992
41,-180.0,-16.5,153.85541496228643
42,-180.0,-16.0,153.42725496471922
43,-180.0,-15.5,156.902148003881
44,-180.0,-14.5,149.15446151177807
45,-180.0,-14.0,151.689380915954
46,-180.0,-13.5,151.23930891529434
47,-180.0,-13.0,155.39704728739866
48,-180.0,-12.5,150.24825015843928
49,-180.0,-12.0,152.63996370529
50,-180.0,-11.0,152.84588025049786
51,-180.0,-10.5,153.5649522544228
52,-180.0,-10.0,151.08176434683264
53,-180.0,-9.5,150.80276639949508
54,-180.0,-8.5,149.96027791544594
55,-180.0,-8.0,149.52070777879297
56,-180.0,-7.5,153.0124869001055
57,-180.0,-7.0,149.36666071835154
58,-180.0,-6.5,153.91028086140918
59,-180.0,-6.0,151.21332395022898
60,-180.0,-5.5,150.6701392291567
61,-180.0,-5.0,151.2245633828784
62,-180.0,-4.5,149.68637480853377
63,-180.0,-4.0,148.95349110687917
64,-180.0,-3.5,153.14899694383547
65,-180.0,-2.0,153.80781686381502
66,-180.0,-1.5,152.19828529259246
67,-180.0,-1.0,148.5467896725113
68,-180.0,0.0,149.95707274195976
69,-180.0,0.5,150.59298672914787
70,-180.0,1.0,151.19097751070433
71,-180.0,1.5,152.77570013525542
72,-180.0,2.0,150.77101925410517
73,-180.0,2.5,148.83916758044015
74,-180.0,3.0,149.73047768978697
75,-180.0,3.5,150.36703470351736
76,-180.0,4.0,149.5504675726268
77,-180.0,4.5,149.55065889352733
78,-180.0,5.0,151.21067703430018
79,-180.0,5.5,149.95154450821923
80,-180.0,6.0,149.88307172392564
81,-180.0,6.5,151.18428340646935
82,-180.0,7.5,155.32653370768352
83,-180.0,8.5,160.71528032479978
84,-180.0,9.0,163.2601863424891
85,-180.0,9.5,154.06217964036205
86,-180.0,10.0,151.3614867739831
87,-180.0,11.0,148.77951132417135
88,-180.0,11.5,149.3666187442091
89,-180.0,12.0,150.07519684931754
90,-180.0,12.5,150.0275019591674
91,-180.0,14.0,158.887808848237
92,-180.0,14.5,157.49220397323438
93,-180.0,15.0,156.11352934374514
94,-180.0,15.5,149.14345653871476
95,-180.0,17.0,156.4416458191498
96,-180.0,17.5,155.70694337879524
97,-180.0,18.0,165.19024202454
98,-180.0,18.5,151.09107122635467
99,-180.0,19.0,148.87933077734104
100,-180.0,19.5,153.3954197576148
101,-180.0,20.0,149.58950734003423
102,-180.0,20.5,150.17660437133486
103,-180.0,21.0,172.55307394582638
104,-180.0,21.5,148.4587545796427
105,-180.0,22.5,150.8804597661865
106,-180.0,23.0,149.76434373983625
107,-180.0,23.5,155.75379456967715
108,-180.0,24.0,152.11240063679773
109,-180.0,24.5,153.60132473369595
110,-180.0,25.0,148.4326278346681
111,-180.0,25.5,155.21215578778845
112,-180.0,26.0,148.02441660101954
113,-180.0,26.5,169.17827709738404
114,-180.0,27.0,149.94813221284758
115,-180.0,27.5,146.28254855261096
116,-180.0,28.0,149.22204349748037
117,-180.0,28.5,149.9897783523742
118,-180.0,29.0,145.96480589247503
119,-180.0,29.5,147.52749870911222
120,-180.0,30.0,153.39805946469036
121,-180.0,30.5,153.93785141631636
122,-180.0,31.0,148.59364521342528
123,-180.0,31.5,155.48104051379292
124,-180.0,32.0,154.30160039693558
125,-180.0,32.5,149.2868490191021
126,-180.0,33.0,154.96000050220334
127,-180.0,33.5,151.62951835104843
128,-180.0,34.0,156.87179499817339
129,-180.0,34.5,156.90515421036534
130,-180.0,35.0,156.49522684209114
131,-180.0,35.5,149.74828899956276
132,-180.0,36.0,156.4720466420528
133,-180.0,36.5,147.49929154289342
134,-180.0,37.0,147.1584086869189
135,-179.5,-37.5,151.85238866561164
136,-179.5,-37.0,156.7741563672032
137,-179.5,-36.5,155.633581005308
138,-179.5,-36.0,149.41488459479356
139,-179.5,-35.5,150.57251446225334
140,-179.5,-35.0,154.1967159641833
141,-179.5,-34.5,149.21447955452047
142,-179.5,-34.0,148.80042750187323
