,long,lat,sr
0,-180.0,-41.0,166.61224151962844
1,-180.0,-40.5,171.40514905825768
2,-180.0,-40.0,158.86363115648084
3,-180.0,-39.5,161.32138078966338
4,-180.0,-38.5,157.56315937645007
5,-180.0,-37.0,152.28576608450956
6,-180.0,-36.5,154.41660845729595
7,-180.0,-36.0,151.47524448370976
8,-180.0,-35.5,157.89574471843127
9,-180.0,-35.0,157.58231815725154
10,-180.0,-34.5,153.8052530239798
11,-180.0,-34.0,153.42992860925884
12,-180.0,-33.5,147.77830366642436
13,-180.0,-33.0,148.18253041764444
14,-180.0,-32.5,152.92665642892416
15,-180.0,-32.0,148.5283305335663
16,-180.0,-31.5,153.4594549124721
17,-180.0,-31.0,145.88803390544803
18,-180.0,-30.5,152.9089013084136
19,-180.0,-30.0,150.14205283827428
20,-180.0,-29.5,149.616139845638
21,-180.0,-29.0,148.1841476886737
22,-180.0,-28.5,151.74748659283412
23,-180.0,-28.0,147.72295110866284
24,-180.0,-27.5,149.19211680223003
25,-180.0,-27.0,149.6736263378583
26,-180.0,-26.5,150.9191255909128
27,-180.0,-26.0,153.26926498323806
28,-180.0,-25.5,157.06045587646017
29,-180.0,-25.0,155.96932830732052
30,-180.0,-24.5,147.7527181386384
31,-180.0,-24.0,145.07570783371864
32,-180.0,-23.5,157.49731977401842
33,-180.0,-23.0,152.93000015440217
34,-180.0,-22.5,150.0495158020261
35,-180.0,-22.0,151.08120150703468
36,-180.0,-21.5,153.26234655874686
37,-180.0,-21.0,148.55704404466704
38,-180.0,-20.0,150.48326246675157
39,-180.0,-19.5,149.15933879401567
40,-180.0,-19.0,152.9093404092136
41,-180.0,-18.5,159.22342751706142
42,-180.0,-18.0,147.06604280929508
43,-180.0,-17.5,147.28342578364797
44,-180.0,-17.0,149.47881281730054
45,-180.0,-15.5,149.156803529574
46,-180.0,-15.0,149.07747359239985
47,-180.0,-14.5,145.06388241208418
48,-180.0,-13.5,151.10581241829746
49,-180.0,-13.0,149.01897058055147
50,-180.0,-12.5,151.48067015511657
51,-180.0,-12.0,153.14821216724727
52,-180.0,-11.5,151.76307349357575
53,-180.0,-10.5,151.99963555189197
54,-180.0,-10.0,145.1987533726137
55,-180.0,-9.5,146.7250735690127
56,-180.0,-9.0,148.64500291426972
57,-180.0,-8.5,151.99721407367068
58,-180.0,-8.0,149.59541316471675
59,-180.0,-7.5,151.19488216863735
60,-180.0,-7.0,148.521913123561
61,-180.0,-6.5,146.6016241138047
62,-180.0,-6.0,146.31837990005337
63,-180.0,-5.5,145.76695734903947
64,-180.0,-5.0,154.04153958338523
65,-180.0,-4.5,148.78227812383136
66,-180.0,-3.0,147.5510262939068
67,-180.0,-2.5,149.62025039523706
68,-180.0,-1.5,151.8128991040094
69,-180.0,-1.0,151.10653837463914
70,-180.0,-0.5,150.29885168966806
71,-180.0,0.0,152.87014344405324
72,-180.0,3.0,150.02250734705078
73,-180.0,4.5,148.92911341014516
74,-180.0,5.0,149.25029546040267
75,-180.0,6.5,151.78752967498585
76,-180.0,7.5,153.09747628496618
77,-180.0,8.5,147.5341135123829
78,-180.0,9.0,153.03474498601233
79,-180.0,9.5,153.96690713154857
80,-180.0,10.0,150.93647159345966
81,-180.0,11.0,151.3112722099435
82,-180.0,11.5,150.38400416101302
83,-180.0,12.0,145.2435591530063
84,-180.0,12.5,148.59610855690323
85,-180.0,13.0,146.60479615760104
86,-180.0,13.5,149.16006844558424
87,-180.0,14.0,147.69448332007016
88,-180.0,14.5,147.5828332154678
89,-180.0,15.0,148.2574202116168
90,-180.0,15.5,149.6596017773296
91,-180.0,16.0,144.82514896072132
92,-180.0,16.5,149.7888846347915
93,-180.0,17.0,150.50649540163872
94,-180.0,17.5,149.22317144589238
95,-180.0,18.0,147.48254073427643
96,-180.0,18.5,149.27799865235343
97,-180.0,19.0,147.5298142209016
98,-180.0,19.5,148.70263005028812
99,-180.0,20.0,149.4475742149445
100,-180.0,20.5,145.69791379602523
101,-180.0,21.0,147.77806664054842
102,-180.0,21.5,149.65409097785871
103,-180.0,22.0,146.84952120511795
104,-180.0,22.5,157.97938742865392
105,-180.0,23.5,148.7788072343868
106,-180.0,24.0,149.69674774392018
107,-180.0,24.5,149.4145758569159
108,-180.0,25.5,146.48773050558856
109,-180.0,26.0,152.27912924924232
110,-180.0,26.5,149.66595658212321
111,-180.0,27.0,150.45546122416425
112,-180.0,27.5,150.1958001593965
113,-180.0,28.0,150.01467013849702
114,-180.0,28.5,150.14080774122175
115,-180.0,29.0,148.21957742619912
116,-180.0,29.5,146.8128214260004
117,-180.0,30.0,151.61651862163976
118,-180.0,30.5,151.17952774339903
119,-180.0,31.0,147.004925374134
120,-180.0,31.5,152.56297564096567
121,-180.0,32.0,149.38053218622647
122,-180.0,32.5,150.86403409796705
123,-180.0,33.0,151.3349247317364
124,-180.0,33.5,149.2850194644651
125,-180.0,34.0,161.56925427591864
126,-180.0,34.5,151.56884691552273
127,-180.0,35.0,153.19634444656324
128,-180.0,35.5,153.79859266364906
129,-180.0,36.0,149.84246689205014
130,-180.0,36.5,150.02086667816855
131,-180.0,37.0,151.02650861659535
132,-180.0,37.5,150.23381350838275
133,-179.5,-41.0,166.36249594866956
134,-179.5,-40.5,170.60140710520957
135,-179.5,-40.0,161.33853046400262
136,-179.5,-39.5,156.66716287404154
137,-179.5,-38.5,157.6217186797036
138,-179.5,-37.0,152.35389104528178
139,-179.5,-36.5,153.78016480665602
140,-179.5,-36.0,151.38498000031808
141,-179.5,-35.5,156.7995619080306
142,-179.5,-35.0,157.9824525625552
143,-179.5,-34.5,151.31595675137194
144,-179.5,-34.0,147.81195452925874
145,-179.5,-33.5,147.49382001621083
146,-179.5,-33.0,147.8914862991294
147,-179.5,-32.5,154.03838220100073
148,-179.5,-32.0,148.1630815283115
149,-179.5,-31.5,153.86761197450656
150,-179.5,-30.5,151.50167902736737
151,-179.5,-30.0,150.1186786588403
152,-179.5,-29.5,149.4722924388194
153,-179.5,-29.0,148.4736222917978
154,-179.5,-28.5,153.04828266693667
155,-179.5,-28.0,147.26836800951025
156,-179.5,-27.5,149.25340770440715
157,-179.5,-27.0,149.4676402713636
158,-179.5,-26.5,152.03548857194897
159,-179.5,-26.0,155.9043167361225
160,-179.5,-25.5,155.1644298128747
161,-179.5,-25.0,153.17589208371265
162,-179.5,-24.5,146.98870714154347
163,-179.5,-24.0,154.90991111828126
164,-179.5,-23.5,162.93901470697105
165,-179.5,-23.0,150.79484450742052
166,-179.5,-22.5,150.15745504507996
167,-179.5,-22.0,148.79534617055958
168,-179.5,-21.5,152.4060307749419
169,-179.5,-21.0,147.72770255226277
170,-179.5,-20.5,149.8458792210624
171,-179.5,-20.0,150.26583132051374
172,-179.5,-19.5,148.3884585021555
173,-179.5,-19.0,155.63520737073537
174,-179.5,-18.5,160.00611965764364
175,-179.5,-18.0,146.08667840972097
176,-179.5,-17.5,149.80103549805492
177,-179.5,-17.0,150.1793002754502
178,-179.5,-16.0,150.7580692002502
179,-179.5,-15.5,148.31483060268883
180,-179.5,-15.0,149.19065981821674
181,-179.5,-14.5,147.01181334419692
182,-179.5,-14.0,147.98925335967783
183,-179.5,-13.5,151.42389167993787
184,-179.5,-13.0,151.4177160855697
185,-179.5,-12.5,151.49067287101545
186,-179.5,-12.0,153.910739415181
187,-179.5,-11.5,153.25689396341164
188,-179.5,-11.0,150.56862636203044
189,-179.5,-10.5,150.52698479446482
190,-179.5,-10.0,149.75102693977425
191,-179.5,-9.5,144.76681411812433
192,-179.5,-9.0,147.27199198099575
193,-179.5,-8.5,151.98326054193606
194,-179.5,-8.0,152.5808136835025
195,-179.5,-7.5,147.48585462116037
196,-179.5,-7.0,149.2907189766637
197,-179.5,-6.5,148.27937054140924
198,-179.5,-6.0,146.69647653745707
199,-179.5,-5.5,144.76907667539996
200,-179.5,-5.0,150.42382937696084
201,-179.5,-4.5,147.40815831285084
202,-179.5,-4.0,148.23212006530366
203,-179.5,-3.5,147.81084160881443
204,-179.5,-3.0,148.7183207453613
205,-179.5,-2.5,150.1866215692517
206,-179.5,-2.0,150.38562419412585
207,-179.5,-1.5,150.02112660771186
208,-179.5,-1.0,151.2631320151612
209,-179.5,-0.5,150.9872184399053
210,-179.5,0.0,153.8401569763509
211,-179.5,0.5,152.97018372389974
212,-179.5,2.5,149.68411839037913
213,-179.5,3.0,150.54653771581576
214,-179.5,5.0,148.73061059643626
215,-179.5,5.5,149.39171118121334
216,-179.5,7.0,151.97741302647185
217,-179.5,7.5,153.43314996955496
218,-179.5,8.0,151.1605487550785
219,-179.5,8.5,147.60490699620613
