,long,lat,sr
0,-180.0,-37.5,147.58501079320033
1,-180.0,-37.0,147.27569487673438
2,-180.0,-36.5,148.5155596627506
3,-180.0,-36.0,146.22575362933026
4,-180.0,-35.5,149.31218638345896
5,-180.0,-35.0,146.42677414741698
6,-180.0,-34.5,151.34839544115505
7,-180.0,-34.0,151.46077702643348
8,-180.0,-33.5,153.74337054185966
9,-180.0,-33.0,147.69348505988418
10,-180.0,-32.5,148.070323581566
11,-180.0,-32.0,148.7523151367989
12,-180.0,-31.5,147.96540892804907
13,-180.0,-31.0,154.3423854927743
14,-180.0,-30.5,151.8626307573763
15,-180.0,-30.0,153.82436301922428
16,-180.0,-29.5,155.54451678404652
17,-180.0,-29.0,167.69317132264445
18,-180.0,-28.5,162.01577324744272
19,-180.0,-28.0,153.32104440736455
20,-180.0,-27.5,154.27915430130963
21,-180.0,-27.0,153.1952617070395
22,-180.0,-26.5,154.21181888181113
23,-180.0,-26.0,151.984033002639
24,-180.0,-25.5,149.57554388261318
25,-180.0,-25.0,151.72229988055182
26,-180.0,-24.5,151.06458029841804
27,-180.0,-24.0,148.84370352898216
28,-180.0,-23.5,147.86705631935706
29,-180.0,-23.0,148.3908693597598
30,-180.0,-22.5,147.76180576477825
31,-180.0,-22.0,147.2922021443315
32,-180.0,-21.5,147.0553677655118
33,-180.0,-21.0,150.6190457248933
34,-180.0,-20.5,149.65061678810778
35,-180.0,-20.0,148.37168255014353
36,-180.0,-19.5,147.88268407658055
37,-180.0,-18.5,152.97487875753367
38,-180.0,-18.0,147.66810347065055
39,-180.0,-17.5,150.14971495092314
40,-180.0,-17.0,151.44322205467472
41,-180.0,-16.5,154.33059108303942
42,-180.0,-16.0,150.83278139297767
43,-180.0,-15.0,149.02915598933842
44,-180.0,-14.0,147.89500596954372
45,-180.0,-13.5,149.74659136714283
46,-180.0,-13.0,151.28884634945246
47,-180.0,-12.5,152.58444310489898
48,-180.0,-12.0,147.96609951437082
49,-180.0,-11.5,152.7700435652765
50,-180.0,-11.0,151.68624647947678
51,-180.0,-10.5,147.1574308147741
52,-180.0,-10.0,151.6816663230245
53,-180.0,-9.5,152.30146513770967
54,-180.0,-9.0,154.35286988696626
55,-180.0,-8.5,155.09583471633664
56,-180.0,-8.0,153.58943138985646
57,-180.0,-7.5,152.95303591259818
58,-180.0,-7.0,151.0361316306276
59,-180.0,-6.5,148.14048097257825
60,-180.0,-6.0,150.96224293625826
61,-180.0,-5.5,149.70819728844597
62,-180.0,-5.0,146.7753095987913
63,-180.0,-4.5,150.7763601311051
64,-180.0,-4.0,149.8030331434025
65,-180.0,-3.5,148.92606181564096
66,-180.0,-3.0,149.74140542315334
67,-180.0,-2.5,148.30306402587664
68,-180.0,-2.0,149.73816558134908
69,-180.0,-1.5,150.86654714405083
70,-180.0,-1.0,149.7411571421709
71,-180.0,-0.5,147.2887939935181
72,-180.0,0.0,151.01756039952969
73,-180.0,0.5,148.56421533830766
74,-180.0,1.0,145.91276417059808
75,-180.0,1.5,149.85966926889088
76,-180.0,2.0,149.7550867649782
77,-180.0,3.0,150.94844146773946
78,-180.0,3.5,148.889438763137
79,-180.0,4.0,152.98982012818777
80,-180.0,4.5,154.80199581298766
81,-180.0,5.0,150.48540486646985
82,-180.0,5.5,147.55327055610314
83,-180.0,6.0,149.3926795061924
84,-180.0,6.5,148.51846575637848
85,-180.0,7.0,147.9473447929701
86,-180.0,7.5,155.61748472810177
87,-180.0,8.0,156.32863016373727
88,-180.0,8.5,153.1565251732056
89,-180.0,9.0,147.3736135578771
90,-180.0,9.5,149.29446572813987
91,-180.0,10.0,149.28625987777406
92,-180.0,10.5,152.02675742067075
93,-180.0,11.0,151.02605612552784
94,-180.0,11.5,146.46131555265865
95,-180.0,12.0,151.05614693006973
96,-180.0,12.5,148.94492617007663
97,-180.0,13.0,153.00322467031305
98,-180.0,13.5,150.56766744466967
99,-180.0,14.0,148.2816885647967
100,-180.0,14.5,147.9187804056489
101,-180.0,15.0,150.3845932343685
102,-180.0,15.5,153.12139676099756
103,-180.0,16.0,153.88061326780465
104,-180.0,16.5,153.35926758629006
105,-180.0,17.0,156.90528785521127
106,-180.0,17.5,147.8463138079436
107,-180.0,19.0,148.64111205954475
108,-180.0,19.5,148.9852747866516
109,-180.0,20.0,150.82629180779182
110,-180.0,20.5,148.5652453319851
111,-180.0,21.0,156.50216149461895
112,-180.0,21.5,150.09859483482657
113,-180.0,22.0,149.90100196501456
114,-180.0,22.5,149.66809729241257
115,-180.0,23.0,152.88692918305884
116,-180.0,23.5,155.72582367141035
117,-180.0,24.0,157.91978680378682
118,-180.0,24.5,159.46332407042632
119,-180.0,25.0,147.474097420658
120,-180.0,25.5,152.34608611598765
121,-180.0,26.0,151.39450804225825
122,-180.0,26.5,147.41875864202672
123,-180.0,27.0,151.02643154122404
124,-180.0,27.5,147.42976035546604
125,-180.0,28.0,153.3794294530171
126,-180.0,28.5,150.22397302401998
127,-180.0,29.0,148.6832125498159
128,-180.0,29.5,149.92036545598847
129,-180.0,30.0,147.0141519738333
130,-180.0,30.5,149.5573522625149
131,-180.0,31.0,147.5148655652909
132,-180.0,31.5,150.5121517304391
133,-180.0,32.0,154.8874623153893
134,-180.0,32.5,154.23038873065457
135,-180.0,33.0,154.69079438930805
136,-180.0,33.5,147.7312595106131
137,-180.0,34.0,153.2899864739613
138,-180.0,34.5,154.6180187986683
139,-180.0,35.0,154.5718160517835
140,-180.0,35.5,149.70990409033942
141,-180.0,36.0,154.9922428604353
142,-180.0,36.5,153.45812287026166
143,-180.0,37.0,157.72911055924865
144,-180.0,38.0,166.38728375083446
145,-180.0,38.5,172.74504249393192
146,-179.5,-37.5,147.10329645033087
147,-179.5,-37.0,147.07289472145234
148,-179.5,-36.5,148.43829930490494
149,-179.5,-36.0,146.48399497302495
150,-179.5,-35.5,149.7807250396024
151,-179.5,-35.0,146.87027344764493
152,-179.5,-34.5,149.72330626000223
153,-179.5,-34.0,149.13629770349772
154,-179.5,-33.5,157.3049708569813
155,-179.5,-33.0,148.01439876263362
156,-179.5,-32.5,148.1441534413705
157,-179.5,-32.0,149.16416449508603
158,-179.5,-31.5,148.5347890863761
159,-179.5,-31.0,155.7424018480308
160,-179.5,-30.5,153.35167169923596
161,-179.5,-30.0,153.68400364749002
162,-179.5,-29.5,154.26181812533565
163,-179.5,-29.0,161.6563554958342
164,-179.5,-28.5,175.80974713364375
165,-179.5,-28.0,154.83686430339515
166,-179.5,-27.5,152.7677269115339
167,-179.5,-27.0,154.49171968488852
168,-179.5,-26.5,152.92162427973778
169,-179.5,-26.0,152.38484170428967
170,-179.5,-25.5,165.0175913200077
171,-179.5,-25.0,152.31335561153338
172,-179.5,-24.5,150.26199221597346
173,-179.5,-24.0,149.2642925658599
174,-179.5,-23.5,148.35726971623933
175,-179.5,-23.0,149.71554154274537
176,-179.5,-22.5,147.13576796487845
177,-179.5,-22.0,148.23893387680434
178,-179.5,-21.5,146.80157419476475
179,-179.5,-21.0,149.02034342726122
180,-179.5,-20.5,149.9256147286213
181,-179.5,-20.0,149.9847047426391
182,-179.5,-19.0,147.87898119046173
183,-179.5,-18.5,150.00371309172405
184,-179.5,-18.0,153.5887602394813
185,-179.5,-17.5,152.92016140885383
186,-179.5,-17.0,149.12129993250954
187,-179.5,-16.5,151.88329975269093
188,-179.5,-16.0,150.37461632090643
189,-179.5,-15.5,150.16262122177028
190,-179.5,-15.0,147.30355822078704
191,-179.5,-14.5,148.23317321372622
192,-179.5,-14.0,151.70570538651592
193,-179.5,-13.5,149.27623309140137
194,-179.5,-13.0,153.02020158164072
195,-179.5,-12.5,149.5693444947785
196,-179.5,-12.0,151.7908918241264
197,-179.5,-11.5,152.2578968881645
198,-179.5,-11.0,152.04325224349526
199,-179.5,-10.5,150.12154280580822
200,-179.5,-10.0,151.08172362433731
201,-179.5,-9.5,149.8158323186957
202,-179.5,-9.0,153.20918760540002
203,-179.5,-8.5,154.27209407934922
204,-179.5,-8.0,153.13762104937922
205,-179.5,-7.5,152.9149976962015
206,-179.5,-7.0,150.30822644359623
207,-179.5,-6.5,148.74071335712375
208,-179.5,-6.0,148.91783810752992
209,-179.5,-5.5,150.968492194439
210,-179.5,-5.0,147.49209300231104
211,-179.5,-4.5,148.69309118126475
212,-179.5,-4.0,149.0002916622278
213,-179.5,-3.5,149.20956897354793
214,-179.5,-3.0,149.21421209321514
215,-179.5,-2.5,150.0926612950311
216,-179.5,-2.0,147.49236928805328
217,-179.5,-1.5,149.54183763451493
218,-179.5,-1.0,151.57467130074278
219,-179.5,-0.5,149.3279216501099
220,-179.5,0.0,149.8433650178051
221,-179.5,0.5,149.42286677192817
222,-179.5,1.0,146.87240790576112
223,-179.5,1.5,149.53908381668904
224,-179.5,2.0,149.76575188753603
225,-179.5,2.5,149.93189535404076
226,-179.5,3.0,151.2683081464896
227,-179.5,3.5,151.30526815716541
228,-179.5,4.0,152.65176288847968
229,-179.5,4.5,155.0484152056346
230,-179.5,5.0,150.37363678119803
231,-179.5,5.5,147.94494434244257
232,-179.5,6.0,150.385678282655
233,-179.5,6.5,148.3116820768369
234,-179.5,7.0,148.9969032816455
235,-179.5,7.5,151.64767991790436
236,-179.5,8.0,150.4283874118969
237,-179.5,8.5,151.4247299143995
238,-179.5,9.0,149.3564313764267
239,-179.5,9.5,149.23412410463717
240,-179.5,10.0,152.6325716359696
241,-179.5,10.5,150.84792897974685
242,-179.5,11.0,146.49809736340322
243,-179.5,11.5,152.59634567028996
244,-179.5,12.0,150.97808470315266
245,-179.5,12.5,148.4843280758057
246,-179.5,13.0,153.19647298595925
247,-179.5,13.5,151.71819792593058
248,-179.5,14.0,148.56225607304276
249,-179.5,14.5,147.6865345957133
250,-179.5,15.0,148.4606086918753
251,-179.5,15.5,154.0184365107802
252,-179.5,16.0,150.65876315616003
253,-179.5,16.5,153.69929068493437
254,-179.5,17.0,154.57258764730685
255,-179.5,17.5,148.21052364823495
256,-179.5,18.0,148.6420779568221
257,-179.5,18.5,148.72221713693176
258,-179.5,19.0,148.31559830303232
259,-179.5,19.5,149.8380123490677
260,-179.5,20.0,149.76159332393817
261,-179.5,20.5,150.7788485797387
262,-179.5,21.0,155.007810412721
263,-179.5,22.0,149.65474897777818
264,-179.5,22.5,151.0919960954486
265,-179.5,23.0,153.71927420753838
266,-179.5,23.5,154.14106692513167
267,-179.5,24.0,157.83799471312474
268,-179.5,24.5,159.5415220679676
269,-179.5,25.0,148.9318480758062
270,-179.5,25.5,151.96176383425723
271,-179.5,26.0,149.4896946866342
272,-179.5,26.5,147.42244000892404
273,-179.5,27.0,149.4841575500476
274,-179.5,27.5,152.85757469118232
275,-179.5,28.0,154.003179202442
276,-179.5,28.5,149.4756184278094
277,-179.5,29.0,148.89617332501845
278,-179.5,29.5,148.55047836124984
279,-179.5,30.0,147.13007478271896
280,-179.5,30.5,148.859195648887
281,-179.5,31.0,147.39692580343194
282,-179.5,31.5,149.71263906883885
283,-179.5,32.0,154.4751791633206
284,-179.5,32.5,153.28268128907973
285,-179.5,33.0,155.22752226117046
286,-179.5,33.5,147.50667355364405
287,-179.5,34.0,154.4288828781572
