lat,long,smap_sm
30.5,-115.5,0.10647901
31.0,-115.5,0.14763959
31.5,-115.5,0.12985304
32.0,-115.5,0.11582702
32.5,-115.5,0.12366768
29.5,-115.0,0.101269886
30.0,-115.0,0.08693416
30.5,-115.0,0.10375139
31.5,-115.0,0.24543963
32.0,-115.0,0.31399912
32.5,-115.0,0.1331644
33.0,-115.0,0.106190234
33.5,-115.0,0.09321773
34.0,-115.0,0.07753097
34.5,-115.0,0.0661325
35.0,-115.0,0.064234436
35.5,-115.0,0.072077624
29.5,-114.5,0.100525714
32.5,-114.5,0.0738665
33.5,-114.5,0.09564352
34.0,-114.5,0.08849238
34.5,-114.5,0.084061936
35.5,-114.5,0.06513321
36.5,-114.5,0.07010817
37.0,-114.5,0.06832293
37.5,-114.5,0.08128297
38.0,-114.5,0.08138313
29.0,-114.0,0.09834417
32.0,-114.0,0.07496692
32.5,-114.0,0.08356207
33.0,-114.0,0.078282155
33.5,-114.0,0.0765813
34.0,-114.0,0.074298196
34.5,-114.0,0.07560627
35.0,-114.0,0.06948331
35.5,-114.0,0.05766505
36.5,-114.0,0.052496806
37.0,-114.0,0.0631607
37.5,-114.0,0.07644713
38.0,-114.0,0.07470642
38.5,-114.0,0.08913301
39.0,-114.0,0.06786299
39.5,-114.0,0.07374263
27.5,-113.5,0.1149293
28.0,-113.5,0.10599192
28.5,-113.5,0.13162199
31.5,-113.5,0.07848925
32.0,-113.5,0.08119027
32.5,-113.5,0.09433399
33.0,-113.5,0.09115754
33.5,-113.5,0.08416905
34.0,-113.5,0.076344155
34.5,-113.5,0.09092348
35.0,-113.5,0.13532339
35.5,-113.5,0.09679565
36.0,-113.5,0.09111459
36.5,-113.5,0.072207406
37.5,-113.5,0.075219646
38.0,-113.5,0.06454786
38.5,-113.5,0.068927035
39.0,-113.5,0.09985075
39.5,-113.5,0.08455037
40.0,-113.5,0.15172939
27.0,-113.0,0.19162492
27.5,-113.0,0.15251082
31.5,-113.0,0.07119378
32.0,-113.0,0.10307201
32.5,-113.0,0.09387163
33.0,-113.0,0.117494024
33.5,-113.0,0.11924543
34.0,-113.0,0.08900162
34.5,-113.0,0.1334844
35.0,-113.0,0.22963355
35.5,-113.0,0.105423324
36.0,-113.0,0.08596947
36.5,-113.0,0.071977004
37.0,-113.0,0.07302392
37.5,-113.0,0.10724749
38.0,-113.0,0.07063266
38.5,-113.0,0.048960473
39.0,-113.0,0.12447973
39.5,-113.0,0.06413283
40.0,-113.0,0.07607222
27.0,-112.5,0.16747347
30.5,-112.5,0.07644488
31.5,-112.5,0.11632629
32.0,-112.5,0.13757925
32.5,-112.5,0.14257328
33.0,-112.5,0.1642499
33.5,-112.5,0.14732772
34.0,-112.5,0.14780621
34.5,-112.5,0.16713062
35.0,-112.5,0.1879186
35.5,-112.5,0.09920614
36.0,-112.5,0.07184223
36.5,-112.5,0.08038075
37.0,-112.5,0.075547
37.5,-112.5,0.108946696
38.0,-112.5,0.08865404
38.5,-112.5,0.056006316
39.0,-112.5,0.07027365
39.5,-112.5,0.06040616
40.0,-112.5,0.04905748
26.0,-112.0,0.17129987
26.5,-112.0,0.16692302
27.0,-112.0,0.20819353
29.0,-112.0,0.11417131
