lat,long,smap_sm
19.5,-155.5,0.2393691
39.0,-123.0,0.41429076
39.0,-122.5,0.32934964
39.5,-122.5,0.31223023
40.0,-122.5,0.2893467
39.0,-122.0,0.3159798
39.5,-122.0,0.42410317
40.0,-122.0,0.3429544
37.5,-121.5,0.19513611
39.0,-121.5,0.34948722
39.5,-121.5,0.45927635
36.5,-121.0,0.15826601
37.5,-121.0,0.21281658
38.0,-121.0,0.33585978
38.5,-121.0,0.33384794
39.0,-121.0,0.40339413
39.5,-120.0,0.22230643
40.0,-120.0,0.16001943
27.5,-110.0,0.16113085
28.0,-110.0,0.13745998
28.5,-110.0,0.13702765
29.0,-110.0,0.076758474
29.5,-110.0,0.040076934
27.0,-109.5,0.22485425
27.5,-109.5,0.15397143
28.0,-109.5,0.1276147
28.5,-109.5,0.14442351
29.5,-109.5,0.16505086
30.0,-109.5,0.13900349
30.5,-109.5,0.140253
31.0,-109.5,0.11484345
31.5,-109.5,0.09152749
26.0,-109.0,0.21842699
26.5,-109.0,0.20071876
27.0,-109.0,0.14848526
27.5,-109.0,0.11348821
28.0,-109.0,0.14866138
28.5,-109.0,0.14283222
29.0,-109.0,0.099207655
29.5,-109.0,0.14579149
30.0,-109.0,0.14494184
30.5,-109.0,0.13178878
31.0,-109.0,0.10537509
31.5,-109.0,0.083243154
32.0,-109.0,0.07485627
32.5,-109.0,0.08277775
33.0,-109.0,0.11062156
33.5,-109.0,0.10444994
34.0,-109.0,0.106934234
34.5,-109.0,0.09494664
26.0,-108.5,0.19459665
26.5,-108.5,0.21410626
27.0,-108.5,0.20136023
27.5,-108.5,0.16345447
28.0,-108.5,0.15830323
28.5,-108.5,0.16074887
29.0,-108.5,0.15948138
29.5,-108.5,0.1499075
30.0,-108.5,0.13745369
30.5,-108.5,0.112391844
31.0,-108.5,0.085117616
31.5,-108.5,0.07907094
32.0,-108.5,0.07303272
32.5,-108.5,0.069837116
33.0,-108.5,0.11272601
33.5,-108.5,0.10131349
34.0,-108.5,0.10350123
34.5,-108.5,0.092135906
35.0,-108.5,0.08295178
35.5,-108.5,0.093190655
25.5,-108.0,0.1985442
26.0,-108.0,0.20701374
27.5,-108.0,0.17094035
28.0,-108.0,0.1704575
28.5,-108.0,0.14789975
29.0,-108.0,0.13333818
29.5,-108.0,0.14006987
30.0,-108.0,0.119007796
30.5,-108.0,0.09254397
31.0,-108.0,0.085509196
31.5,-108.0,0.088322625
32.0,-108.0,0.074986234
32.5,-108.0,0.07414705
33.0,-108.0,0.10480646
33.5,-108.0,0.10016893
34.0,-108.0,0.08952398
34.5,-108.0,0.09177773
35.0,-108.0,0.10320282
35.5,-108.0,0.08289694
37.0,-108.0,0.07871462
38.0,-108.0,0.13237219
25.0,-107.5,0.22328745
25.5,-107.5,0.21153212
27.0,-107.5,0.17098102
27.5,-107.5,0.17173922
28.0,-107.5,0.13756567
28.5,-107.5,0.12865582
29.0,-107.5,0.12037103
29.5,-107.5,0.11076428
30.0,-107.5,0.097935975
30.5,-107.5,0.09467062
31.0,-107.5,0.08966365
31.5,-107.5,0.08615497
32.0,-107.5,0.06871177
32.5,-107.5,0.07136272
33.0,-107.5,0.08158595
33.5,-107.5,0.07780882
34.0,-107.5,0.078069374
34.5,-107.5,0.08983828
35.0,-107.5,0.09282657
35.5,-107.5,0.08269853
36.0,-107.5,0.0617929
