lat,long,smap_sm
19.5,-155.5,0.24877188
39.0,-123.0,0.15587918
39.0,-122.5,0.128693
39.5,-122.5,0.1394639
40.0,-122.5,0.10152056
39.0,-122.0,0.17901102
39.5,-122.0,0.1894059
40.0,-122.0,0.12143815
37.5,-121.5,0.07165534
39.0,-121.5,0.16517697
39.5,-121.5,0.14058986
36.5,-121.0,0.094133854
37.0,-121.0,0.096473426
37.5,-121.0,0.14715621
38.0,-121.0,0.12302605
38.5,-121.0,0.11594066
39.0,-121.0,0.16210277
39.5,-120.0,0.07586321
40.0,-120.0,0.061918974
27.5,-110.0,0.28769085
28.0,-110.0,0.3419781
28.5,-110.0,0.3536405
27.0,-109.5,0.18967529
27.5,-109.5,0.24468535
28.0,-109.5,0.3860603
28.5,-109.5,0.4143681
29.5,-109.5,0.34102747
30.0,-109.5,0.32185796
30.5,-109.5,0.27751088
26.0,-109.0,0.3261313
26.5,-109.0,0.31589136
27.0,-109.0,0.24905592
27.5,-109.0,0.27845562
28.0,-109.0,0.47178835
28.5,-109.0,0.43594876
29.0,-109.0,0.39079058
29.5,-109.0,0.31959873
30.0,-109.0,0.32619727
30.5,-109.0,0.26497927
31.0,-109.0,0.21418348
31.5,-109.0,0.17380807
32.0,-109.0,0.15029556
32.5,-109.0,0.11599425
33.0,-109.0,0.14813477
33.5,-109.0,0.18041025
34.0,-109.0,0.13716373
34.5,-109.0,0.10947416
26.0,-108.5,0.28991017
28.5,-108.5,0.4726247
29.0,-108.5,0.40082812
29.5,-108.5,0.36269587
30.0,-108.5,0.3294329
30.5,-108.5,0.2553567
31.0,-108.5,0.23645742
31.5,-108.5,0.18496922
32.0,-108.5,0.15136993
32.5,-108.5,0.1159789
33.0,-108.5,0.16049552
33.5,-108.5,0.21639653
34.0,-108.5,0.13727416
34.5,-108.5,0.099254
35.0,-108.5,0.09849228
35.5,-108.5,0.09727617
36.0,-108.5,0.0697964
25.5,-108.0,0.30346215
27.5,-108.0,0.48379284
28.0,-108.0,0.466046
28.5,-108.0,0.37694705
29.0,-108.0,0.33851606
29.5,-108.0,0.34311634
30.0,-108.0,0.23823544
30.5,-108.0,0.17530614
31.0,-108.0,0.20532045
31.5,-108.0,0.16876973
32.0,-108.0,0.13582963
32.5,-108.0,0.12533408
33.0,-108.0,0.21718496
33.5,-108.0,0.19901866
34.0,-108.0,0.11099667
34.5,-108.0,0.104313925
35.0,-108.0,0.10581983
35.5,-108.0,0.088183925
36.0,-108.0,0.061129782
36.5,-108.0,0.064000435
37.0,-108.0,0.09656893
25.0,-107.5,0.38391924
27.0,-107.5,0.4531858
27.5,-107.5,0.41505796
28.0,-107.5,0.37931466
28.5,-107.5,0.2668751
29.0,-107.5,0.24625921
29.5,-107.5,0.23650238
30.0,-107.5,0.16115811
30.5,-107.5,0.14921711
31.0,-107.5,0.1502535
31.5,-107.5,0.14362851
32.0,-107.5,0.11615169
32.5,-107.5,0.11838535
33.0,-107.5,0.123139694
33.5,-107.5,0.12146244
34.0,-107.5,0.10579061
34.5,-107.5,0.10319532
35.0,-107.5,0.089624554
35.5,-107.5,0.09098399
36.0,-107.5,0.0737775
36.5,-107.5,0.089873895
37.0,-107.5,0.12310609
38.0,-107.5,0.17092466
38.5,-107.5,0.1047999
39.0,-107.5,0.13680133
26.0,-107.0,0.5275526
26.5,-107.0,0.46736935
27.0,-107.0,0.33379257
27.5,-107.0,0.33292705
28.0,-107.0,0.28445408
28.5,-107.0,0.31462073
29.0,-107.0,0.25855997
29.5,-107.0,0.20938984
30.0,-107.0,0.15457784
30.5,-107.0,0.13398643
31.0,-107.0,0.1778347
31.5,-107.0,0.1591743
32.0,-107.0,0.09323193
32.5,-107.0,0.11087623
33.0,-107.0,0.10310812
33.5,-107.0,0.10367374
34.0,-107.0,0.0972391
34.5,-107.0,0.09264316
35.0,-107.0,0.07288767
35.5,-107.0,0.08507569
36.0,-107.0,0.092976674
36.5,-107.0,0.10312105
37.0,-107.0,0.12541535
38.0,-107.0,0.11786258
38.5,-107.0,0.08337064
39.0,-107.0,0.1350142
39.5,-107.0,0.12999892
40.0,-107.0,0.1398221
26.0,-106.5,0.4958969
26.5,-106.5,0.45728695
27.0,-106.5,0.30312192
27.5,-106.5,0.28219008
28.0,-106.5,0.26045966
28.5,-106.5,0.26684213
29.0,-106.5,0.26280916
29.5,-106.5,0.18429893
30.0,-106.5,0.13105342
30.5,-106.5,0.13369602
31.0,-106.5,0.14290135
31.5,-106.5,0.17035197
32.5,-106.5,0.117912926
33.0,-106.5,0.15660094
33.5,-106.5,0.1318829
34.0,-106.5,0.09340811
34.5,-106.5,0.10289942
35.5,-106.5,0.0911216
36.5,-106.5,0.119680904
38.0,-106.5,0.09338245
38.5,-106.5,0.089080304
40.0,-106.5,0.1140177
25.0,-106.0,0.40307802
25.5,-106.0,0.39630812
26.0,-106.0,0.389054
26.5,-106.0,0.34684187
27.0,-106.0,0.2604035
27.5,-106.0,0.23173991
28.0,-106.0,0.17355555
28.5,-106.0,0.18899375
29.0,-106.0,0.15522645
29.5,-106.0,0.15789737
30.0,-106.0,0.1409724
30.5,-106.0,0.12705195
31.0,-106.0,0.1225315
31.5,-106.0,0.120081514
32.0,-106.0,0.100145385
32.5,-106.0,0.10779787
33.0,-106.0,0.17245527
33.5,-106.0,0.13384843
34.0,-106.0,0.10111141
34.5,-106.0,0.09613074
35.0,-106.0,0.09120086
35.5,-106.0,0.09826038
36.0,-106.0,0.10667029
36.5,-106.0,0.099759854
37.0,-106.0,0.092654124
37.5,-106.0,0.10637377
38.0,-106.0,0.09716169
38.5,-106.0,0.08802154
39.0,-106.0,0.106701836
40.0,-106.0,0.12842405
24.0,-105.5,0.51978934
24.5,-105.5,0.47067642
25.0,-105.5,0.35072425
25.5,-105.5,0.3065469
26.0,-105.5,0.27005655
26.5,-105.5,0.23293963
27.0,-105.5,0.19750418
27.5,-105.5,0.21468541
28.0,-105.5,0.17275664
28.5,-105.5,0.13946488
29.0,-105.5,0.13066414
29.5,-105.5,0.13532355
30.0,-105.5,0.128433
30.5,-105.5,0.11295594
31.0,-105.5,0.120507866
31.5,-105.5,0.10690867
32.0,-105.5,0.110563174
32.5,-105.5,0.14396995
33.0,-105.5,0.2660685
33.5,-105.5,0.19998506
34.0,-105.5,0.12252231
34.5,-105.5,0.08775385
35.0,-105.5,0.08827067
35.5,-105.5,0.10978583
37.0,-105.5,0.08362084
37.5,-105.5,0.083237134
38.0,-105.5,0.08423062
38.5,-105.5,0.100430466
39.0,-105.5,0.12006556
21.0,-105.0,0.47428074
23.5,-105.0,0.45518738
24.0,-105.0,0.37383243
24.5,-105.0,0.3953492
25.0,-105.0,0.3399212
25.5,-105.0,0.2389046
26.0,-105.0,0.19745907
26.5,-105.0,0.15990674
27.0,-105.0,0.1549848
27.5,-105.0,0.1950887
28.0,-105.0,0.15315723
28.5,-105.0,0.113500506
29.0,-105.0,0.11737017
29.5,-105.0,0.12581314
30.0,-105.0,0.12075457
30.5,-105.0,0.114133224
31.0,-105.0,0.10813093
31.5,-105.0,0.105676726
32.0,-105.0,0.12860382
32.5,-105.0,0.13707621
33.0,-105.0,0.12490171
33.5,-105.0,0.12732303
34.0,-105.0,0.08555958
34.5,-105.0,0.06608982
35.0,-105.0,0.08210446
35.5,-105.0,0.10542471
36.0,-105.0,0.09681821
36.5,-105.0,0.104833685
37.0,-105.0,0.12528664
37.5,-105.0,0.087543815
38.0,-105.0,0.08675492
38.5,-105.0,0.08764193
39.0,-105.0,0.09343296
20.0,-104.5,0.44075397
20.5,-104.5,0.41914317
21.0,-104.5,0.49478087
22.0,-104.5,0.47296554
23.0,-104.5,0.4783225
23.5,-104.5,0.3617348
24.0,-104.5,0.3093785
24.5,-104.5,0.29562998
25.0,-104.5,0.20509472
25.5,-104.5,0.15329564
26.0,-104.5,0.11941773
26.5,-104.5,0.09812822
27.0,-104.5,0.12640421
27.5,-104.5,0.14726505
28.0,-104.5,0.13720655
28.5,-104.5,0.098752394
29.0,-104.5,0.11586918
29.5,-104.5,0.11354031
30.0,-104.5,0.11377811
30.5,-104.5,0.11690429
31.0,-104.5,0.102164134
31.5,-104.5,0.09423269
32.0,-104.5,0.09358413
32.5,-104.5,0.09360958
33.0,-104.5,0.08194406
33.5,-104.5,0.0928601
34.0,-104.5,0.059037928
34.5,-104.5,0.053170808
35.0,-104.5,0.076011546
35.5,-104.5,0.07000955
36.0,-104.5,0.090739414
36.5,-104.5,0.08848257
37.0,-104.5,0.111257106
37.5,-104.5,0.08491589
38.0,-104.5,0.097462505
38.5,-104.5,0.070070565
39.0,-104.5,0.061159357
39.5,-104.5,0.051092986
40.0,-104.5,0.08366135
19.5,-104.0,0.40409195
20.0,-104.0,0.40178305
