lat,long,smap_sm
39.0,-123.0,0.14992659
39.0,-122.5,0.12189342
39.5,-122.5,0.14835872
40.0,-122.5,0.10712911
39.0,-122.0,0.18625553
39.5,-122.0,0.20386316
40.0,-122.0,0.1243476
37.5,-121.5,0.07453918
39.0,-121.5,0.1696174
39.5,-121.5,0.14342262
35.5,-121.0,0.053203963
36.0,-121.0,0.082668215
36.5,-121.0,0.08880697
37.0,-121.0,0.12158914
37.5,-121.0,0.14203373
38.0,-121.0,0.12158762
38.5,-121.0,0.11910865
39.0,-121.0,0.15222737
35.5,-120.5,0.05253125
36.0,-120.5,0.07720355
36.5,-120.5,0.12771198
37.0,-120.5,0.1513464
37.5,-120.5,0.1292697
35.0,-120.0,0.058549106
35.5,-120.0,0.067252785
36.0,-120.0,0.1053069
36.5,-120.0,0.13807252
37.5,-120.0,0.0770707
39.5,-120.0,0.07577571
40.0,-120.0,0.0535147
34.5,-119.5,0.08836578
35.0,-119.5,0.076358795
35.5,-119.5,0.07827317
36.0,-119.5,0.15792161
36.5,-119.5,0.117139444
37.0,-119.5,0.06515316
38.0,-119.5,0.1374158
38.5,-119.5,0.08265498
39.0,-119.5,0.08139119
39.5,-119.5,0.09067279
34.5,-119.0,0.09432371
35.0,-119.0,0.08938984
35.5,-119.0,0.079595715
36.0,-119.0,0.10088814
36.5,-119.0,0.106528774
37.5,-119.0,0.12254431
38.0,-119.0,0.15273619
38.5,-119.0,0.075985104
39.0,-119.0,0.060414527
39.5,-119.0,0.07914774
40.0,-119.0,0.07220307
34.5,-118.5,0.06954763
35.0,-118.5,0.060393386
35.5,-118.5,0.06448043
36.5,-118.5,0.14102183
38.0,-118.5,0.07984219
38.5,-118.5,0.06714349
39.0,-118.5,0.075059325
39.5,-118.5,0.07744103
40.0,-118.5,0.08254871
34.5,-118.0,0.048796326
35.0,-118.0,0.0484223
35.5,-118.0,0.057611853
36.0,-118.0,0.081054375
36.5,-118.0,0.100128874
37.5,-118.0,0.08072383
38.0,-118.0,0.07855281
38.5,-118.0,0.071874194
39.0,-118.0,0.055901207
39.5,-118.0,0.06735894
40.0,-118.0,0.08598015
35.5,-117.5,0.058910076
36.0,-117.5,0.079897836
37.0,-117.5,0.08098584
38.0,-117.5,0.073148355
38.5,-117.5,0.06875074
39.0,-117.5,0.063635014
39.5,-117.5,0.047336027
40.0,-117.5,0.043221418
34.5,-117.0,0.05785167
35.0,-117.0,0.052174766
35.5,-117.0,0.06269725
37.0,-117.0,0.065856025
37.5,-117.0,0.055867024
38.0,-117.0,0.06277459
38.5,-117.0,0.0711545
39.5,-117.0,0.05244621
40.0,-117.0,0.042857766
32.5,-116.5,0.08828813
33.0,-116.5,0.105688706
33.5,-116.5,0.10775408
34.5,-116.5,0.07903479
35.0,-116.5,0.066118926
35.5,-116.5,0.07321419
36.0,-116.5,0.074830115
36.5,-116.5,0.08677295
37.0,-116.5,0.045152206
37.5,-116.5,0.046889663
38.0,-116.5,0.054610383
38.5,-116.5,0.07612716
39.0,-116.5,0.06426978
39.5,-116.5,0.055046096
40.0,-116.5,0.056187723
