lat,long,smap_sm
19.5,-155.5,0.24862592
39.0,-123.0,0.16187814
39.0,-122.5,0.13433582
39.5,-122.5,0.14361878
40.0,-122.5,0.106061965
39.0,-122.0,0.19097722
39.5,-122.0,0.19449653
40.0,-122.0,0.14043607
37.5,-121.5,0.0798361
39.0,-121.5,0.17395441
39.5,-121.5,0.17666957
35.5,-121.0,0.095427
36.0,-121.0,0.09640972
36.5,-121.0,0.0941257
37.0,-121.0,0.1554797
37.5,-121.0,0.14144349
38.0,-121.0,0.1438162
38.5,-121.0,0.16205534
39.0,-121.0,0.23207408
35.5,-120.5,0.064257674
36.0,-120.5,0.085248195
36.5,-120.5,0.12857994
37.0,-120.5,0.17656128
37.5,-120.5,0.12556669
35.0,-120.0,0.06946959
35.5,-120.0,0.0726935
36.0,-120.0,0.10969
36.5,-120.0,0.15579918
37.5,-120.0,0.09822674
39.5,-120.0,0.10283266
40.0,-120.0,0.09330123
34.5,-119.5,0.089366235
35.0,-119.5,0.075114325
35.5,-119.5,0.09161846
36.0,-119.5,0.16768824
36.5,-119.5,0.11961761
37.0,-119.5,0.08913513
38.0,-119.5,0.14351067
38.5,-119.5,0.08358627
39.0,-119.5,0.080082044
39.5,-119.5,0.07915425
34.5,-119.0,0.09925101
35.0,-119.0,0.09923542
35.5,-119.0,0.08995034
36.0,-119.0,0.10853773
36.5,-119.0,0.10495259
37.5,-119.0,0.13533513
38.0,-119.0,0.12664431
38.5,-119.0,0.07840722
39.0,-119.0,0.062057965
39.5,-119.0,0.08844953
40.0,-119.0,0.08567397
35.5,-118.5,0.07319556
36.5,-118.5,0.15250236
38.0,-118.5,0.06716794
38.5,-118.5,0.06626432
39.0,-118.5,0.07384515
39.5,-118.5,0.103950374
40.0,-118.5,0.10694618
37.5,-118.0,0.07915718
38.0,-118.0,0.07420425
39.0,-118.0,0.050306346
39.5,-118.0,0.08214344
40.0,-118.0,0.1017756
38.5,-117.5,0.050107498
39.0,-117.5,0.05826299
39.5,-117.5,0.052383807
40.0,-117.5,0.04678837
39.5,-117.0,0.04617817
40.0,-117.0,0.047591917
25.0,-107.5,0.26441535
27.0,-107.5,0.42466867
24.5,-107.0,0.27228275
26.0,-107.0,0.5071114
26.5,-107.0,0.42800972
27.0,-107.0,0.3476308
27.5,-107.0,0.31896365
28.0,-107.0,0.28588024
28.5,-107.0,0.30270714
26.0,-106.5,0.44815212
26.5,-106.5,0.45218456
27.0,-106.5,0.30543923
27.5,-106.5,0.2601676
28.0,-106.5,0.25691745
28.5,-106.5,0.27300984
29.0,-106.5,0.24434984
29.5,-106.5,0.2100083
30.0,-106.5,0.15247723
30.5,-106.5,0.16621819
